treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00089b46831e8ef8664d2a632b8145c5	6.479	34.8894	12.0586	6.479	4.3612	0.3092	20.9545	14.105	NA	0	0	NA	1e-04	0	NA
0036d59b9c2c58b22fd5945b4aa3f348	55.5438	3.0936	7.2483	55.5438	0.3867	0.1859	298.8558	2.0807	NA	0	0.0616	NA	0	0.0633	NA
008277a5fd42cb04f88c34a26df200ce	8.3571	4.7057	7.4349	8.3571	0.5882	0.1906	43.8374	3.0855	NA	0	0.0086	NA	0	0.0092	NA
00b05a391e262ebf75433a5901c94f69	40.3143	9.6988	7.6806	40.3143	1.2123	0.1969	204.7042	6.1559	NA	0	0	NA	0	1e-04	NA
0104f91f1cc33e553be3bfc68a517ce7	36.4649	7.8188	6.5535	36.4649	0.9774	0.168	217.0029	5.8162	NA	0	1e-04	NA	0	1e-04	NA
010f0a7d84a28949c78be5930457dabc	1.669	3.8212	5.7004	1.669	0.4776	0.1462	11.4189	3.2679	NA	0.0017	0.006	NA	0.002	0.0065	NA
01651ac01a6d8f5ab55e823ecd4020b2	16.7064	36.6694	6.8138	16.7064	4.5837	0.1747	95.623	26.2357	NA	0	0	NA	0	0	NA
018166381b3825f4433929cd661c73b1	0.4288	5.0899	5.9925	0.4288	0.6362	0.1537	2.7908	4.1407	NA	0.1028	0.0012	NA	0.1105	0.0014	NA
01ba5a538d3091e6f291367ab4c114de	0.2194	7.403	33.2394	0.2194	0.9254	0.8523	0.2574	1.0857	NA	0.6148	0.3933	NA	0.6244	0.3949	NA
029ac96df8a3842cd51b0e24cb25d147	78.8782	110.9903	23.3607	78.8782	13.8738	0.599	131.6846	23.1618	NA	0	0	NA	0	0	NA
02c5ba36522584f868e4d3548c1e02af	27.7302	20.9436	8.5186	27.7302	2.618	0.2184	126.9554	11.9856	NA	0	0	NA	0	0	NA
033d19faa0ce86082c0215df5bffbdb5	15.6776	10.2252	9.316	15.6776	1.2781	0.2389	65.6319	5.3508	NA	0	1e-04	NA	0	2e-04	NA
03522a86e8b54bd9508023e65e04dfd1	35.6419	17.3133	14.9541	35.6419	2.1642	0.3834	92.9531	5.6441	NA	0	1e-04	NA	0	1e-04	NA
03576e58e1c6ff8ce50c0fadbbf4860b	0.0388	46.9661	24.1694	0.0388	5.8708	0.6197	0.0626	9.4731	NA	0.8038	0	NA	0.8097	0	NA
035ad00cb4268363afb29c9db102e959	16.1024	7.9739	4.4476	16.1024	0.9967	0.114	141.1989	8.7402	NA	0	0	NA	0	0	NA
0362c5f6815777388ea02ff51947c85e	46.6063	12.8758	8.8589	46.6063	1.6095	0.2272	205.178	7.0855	NA	0	0	NA	0	0	NA
036fd95372a59cb54c18db11e833a6e5	0.8228	19.9473	21.4951	0.8228	2.4934	0.5512	1.4929	4.524	NA	0.2291	6e-04	NA	0.2414	7e-04	NA
03c3804b27717d58097d438f97396ac2	6.4485	20.1381	11.3014	6.4485	2.5173	0.2898	22.2532	8.6868	NA	0	0	NA	0	0	NA
040d33a988e7004112ecdeb4e029b32f	14.8715	7.1041	4.1903	14.8715	0.888	0.1074	138.4125	8.265	NA	0	0	NA	0	0	NA
041ea541f1c4f5b3ffdc193464a3c139	43.2903	7.8012	7.5276	43.2903	0.9751	0.193	224.2836	5.0522	NA	0	2e-04	NA	0	3e-04	NA
043aab733df943204ad5f00be077291c	22.9702	34.0319	7.9194	22.9702	4.254	0.2031	113.1194	20.9492	NA	0	0	NA	0	0	NA
0468f59da37cad8e1d8dc328ddff8811	16.5074	8.2135	6.5678	16.5074	1.0267	0.1684	98.0214	6.0965	NA	0	0	NA	0	1e-04	NA
04c4e57c46ca8bf11cdf9eb198513e84	13.9654	24.2883	21.9351	13.9654	3.036	0.5624	24.8301	5.398	NA	0	1e-04	NA	0	2e-04	NA
0518fb4aa3e6bc13f085feb43a8bbe7e	5.1755	28.9729	9.3957	5.1755	3.6216	0.2409	21.4826	15.0327	NA	0	0	NA	1e-04	0	NA
055582bf87abfc587b152016a37adea2	88.9114	36.9222	18.0026	88.9114	4.6153	0.4616	192.6135	9.9983	NA	0	0	NA	0	0	NA
0586aaf9e2db94ce68674fcfc109de01	9.7089	26.4153	13.5473	9.7089	3.3019	0.3474	27.95	9.5056	NA	0	0	NA	0	0	NA
05871147ff12b16b162fac81396e211a	1.9949	46.7207	17.5553	1.9949	5.8401	0.4501	4.4317	12.974	NA	0.0418	0	NA	0.0459	0	NA
059f46cc760a6f4330ae67c7a1edffe4	14.9948	7.0021	4.1289	14.9948	0.8753	0.1059	141.6342	8.2673	NA	0	0	NA	0	0	NA
05b0dee66b0a70f529ddb70ec3be9155	63.544	7.7469	11.1472	63.544	0.9684	0.2858	222.3183	3.388	NA	0	0.0048	NA	0	0.0052	NA
05db447f5d09ea1e6ea1697bc67c868d	28.665	12.7891	4.7665	28.665	1.5986	0.1222	234.5407	13.0803	NA	0	0	NA	0	0	NA
05dfade82ae64d4b1a7791a874417099	4.1003	95.2867	8.8076	4.1003	11.9108	0.2258	18.1563	52.7414	NA	1e-04	0	NA	2e-04	0	NA
0601ba88d2b9420350741fd55855a7c4	6.7557	6.1564	7.4164	6.7557	0.7696	0.1902	35.5258	4.0468	NA	0	0.0014	NA	0	0.0016	NA
06b6b456fa4091284cee40092b308586	24.1514	15.9935	5.1786	24.1514	1.9992	0.1328	181.8845	15.0559	NA	0	0	NA	0	0	NA
071118f14eab5b3ab5d917fb0653a477	8.9579	26.3619	28.081	8.9579	3.2952	0.72	12.4411	4.5765	NA	0.0011	5e-04	NA	0.0013	7e-04	NA
07555ed9a6e1195b603bd64e380a8372	8.537	12.4748	3.8473	8.537	1.5593	0.0986	86.5395	15.807	NA	0	0	NA	0	0	NA
