treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00089b46831e8ef8664d2a632b8145c5	3.0641	13.5418	2.1492	3.0641	6.7709	0.1653	18.5343	40.9565	NA	9e-04	0	NA	0.0015	0	NA
0036d59b9c2c58b22fd5945b4aa3f348	28.6499	0.809	1.7702	28.6499	0.4045	0.1362	210.3978	2.9706	NA	0	0.0866	NA	0	0.1117	NA
0046281d7bcee40b30209fff59cb8a72	1.5163	0.7693	2.2984	1.5163	0.3846	0.1768	8.5764	2.1756	NA	0.0117	0.1531	NA	0.0163	0.1828	NA
008277a5fd42cb04f88c34a26df200ce	2.0239	1.2243	1.5132	2.0239	0.6122	0.1164	17.3871	5.259	NA	0.0011	0.0212	NA	0.0018	0.0344	NA
00b05a391e262ebf75433a5901c94f69	15.998	3.8691	2.5757	15.998	1.9345	0.1981	80.7444	9.7639	NA	0	0.0026	NA	0	0.006	NA
0104f91f1cc33e553be3bfc68a517ce7	13.6027	1.2509	1.5862	13.6027	0.6254	0.122	111.48	5.1257	NA	0	0.0228	NA	0	0.0366	NA
010f0a7d84a28949c78be5930457dabc	0.367	0.0974	1.9826	0.367	0.0487	0.1525	2.4065	0.3193	NA	0.1448	0.7322	NA	0.1689	0.7491	NA
0141cc500b9cfd472681696cfe8f2eb1	10.1307	2.5781	1.9636	10.1307	1.2891	0.151	67.0706	8.5342	NA	0	0.0043	NA	0	0.0092	NA
01532d9e56ecb072ab5a8eaa9b39de5c	1.7184	0.9836	2.0978	1.7184	0.4918	0.1614	10.649	3.0478	NA	0.0062	0.0821	NA	0.0089	0.1071	NA
01651ac01a6d8f5ab55e823ecd4020b2	3.5013	13.2518	4.398	3.5013	6.6259	0.3383	10.3493	19.5853	NA	0.0067	1e-04	NA	0.0097	6e-04	NA
01748fb97de74d17bdb942aeaa74a1aa	4.2596	17.702	5.4733	4.2596	8.851	0.421	10.1174	21.0226	NA	0.0072	1e-04	NA	0.0103	5e-04	NA
018166381b3825f4433929cd661c73b1	0.0592	0.2869	1.4896	0.0592	0.1434	0.1146	0.5171	1.2518	NA	0.4848	0.3183	NA	0.5159	0.3505	NA
01b59402bea919155f2b72585914dc28	1.48	1.7212	1.7116	1.48	0.8606	0.1317	11.2408	6.5366	NA	0.0052	0.0108	NA	0.0076	0.0196	NA
01ba5a538d3091e6f291367ab4c114de	4.2381	1.5745	13.3113	4.2381	0.7873	1.0239	4.139	0.7689	NA	0.0628	0.4835	NA	0.0775	0.5134	NA
01bea577aa60b2f19561a6239f841214	14.5856	0.8383	1.9859	14.5856	0.4192	0.1528	95.4811	2.7439	NA	0	0.1014	NA	0	0.128	NA
021b2869c2627d813d2146e5a70b97da	0.043	0.8541	4.1584	0.043	0.427	0.3199	0.1343	1.335	NA	0.7199	0.2969	NA	0.7395	0.329	NA
029ac96df8a3842cd51b0e24cb25d147	51.3842	5.9595	7.3985	51.3842	2.9797	0.5691	90.2883	5.2357	NA	0	0.0215	NA	0	0.0347	NA
02a0cf41fc307b0bf084a940a0245da0	31.2331	4.3357	0.9969	31.2331	2.1678	0.0767	407.3001	28.2699	NA	0	0	NA	0	2e-04	NA
02c5ba36522584f868e4d3548c1e02af	13.0497	3.1924	3.0116	13.0497	1.5962	0.2317	56.3315	6.8903	NA	0	0.0091	NA	0	0.017	NA
02d5baf4915b88cd26c96b95b5015208	9.5938	7.584	2.4446	9.5938	3.792	0.188	51.0192	20.1657	NA	0	1e-04	NA	0	5e-04	NA
02f7ae8d3ebef446b8cdc7951ccb98e4	16.2805	4.3161	8.7049	16.2805	2.158	0.6696	24.3136	3.2228	NA	3e-04	0.073	NA	5e-04	0.0966	NA
033d19faa0ce86082c0215df5bffbdb5	5.6738	0.5424	0.8401	5.6738	0.2712	0.0646	87.7962	4.1962	NA	0	0.0393	NA	0	0.0575	NA
03522a86e8b54bd9508023e65e04dfd1	12.1493	4.4738	5.7056	12.1493	2.2369	0.4389	27.6815	5.0966	NA	2e-04	0.0232	NA	3e-04	0.0371	NA
03576e58e1c6ff8ce50c0fadbbf4860b	0.166	2.396	1.3952	0.166	1.198	0.1073	1.5469	11.1626	NA	0.2356	0.0015	NA	0.2654	0.0039	NA
035ad00cb4268363afb29c9db102e959	4.846	1.6524	1.2364	4.846	0.8262	0.0951	50.9527	8.6868	NA	0	0.004	NA	0	0.0088	NA
0362c5f6815777388ea02ff51947c85e	17.3443	1.4443	4.1713	17.3443	0.7221	0.3209	54.0539	2.2506	NA	0	0.1448	NA	0	0.1741	NA
036fd95372a59cb54c18db11e833a6e5	0.0803	4.4144	6.1909	0.0803	2.2072	0.4762	0.1687	4.6348	NA	0.688	0.0302	NA	0.7106	0.0463	NA
