treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00089b46831e8ef8664d2a632b8145c5	0.5493	2.0242	0.2828	0.5493	2.0242	0.0404	13.5964	50.0981	NA	0.0078	2e-04	NA	0.0117	0.0021	NA
002707428636a815354367f102120956	3.3834	0.0921	0.997	3.3834	0.0921	0.1424	23.754	0.6465	NA	0.0018	0.4478	NA	0.0033	0.5522	NA
002f1a45b5c69d673731dd633504a01e	5.548	0.123	0.5801	5.548	0.123	0.0829	66.9424	1.4836	NA	1e-04	0.2627	NA	3e-04	0.3627	NA
00361d4ec0f6bc9593b3365b7718c95b	12.5736	14.1445	0.5999	12.5736	14.1445	0.0857	146.7271	165.0593	NA	0	0	NA	1e-04	3e-04	NA
0036d59b9c2c58b22fd5945b4aa3f348	14.2277	2.2653	0.547	14.2277	2.2653	0.0781	182.0677	28.9883	NA	0	0.001	NA	1e-04	0.0057	NA
0046281d7bcee40b30209fff59cb8a72	0.6701	0.0161	0.5604	0.6701	0.0161	0.0801	8.3696	0.2017	NA	0.0232	0.667	NA	0.0317	0.7461	NA
005c9aeb0fcf676d0c82c53e266f6c7e	1.5485	1.7286	1.1266	1.5485	1.7286	0.1609	9.6215	10.7407	NA	0.0173	0.0135	NA	0.0241	0.0364	NA
005e34772346d65b74ff2f90ea4ec0ee	6.4879	1.0674	0.5699	6.4879	1.0674	0.0814	79.6883	13.1107	NA	0	0.0085	NA	2e-04	0.0256	NA
008277a5fd42cb04f88c34a26df200ce	3.8182	8e-04	0.6762	3.8182	8e-04	0.0966	39.5237	0.0083	NA	4e-04	0.9298	NA	9e-04	0.9482	NA
00ac039693854d7669a43b754dfc59bf	6.741	0.1263	0.8833	6.741	0.1263	0.1262	53.4239	1.0012	NA	2e-04	0.3503	NA	5e-04	0.4567	NA
00b05a391e262ebf75433a5901c94f69	7.251	0.4343	0.1919	7.251	0.4343	0.0274	264.5364	15.8446	NA	0	0.0053	NA	0	0.0178	NA
00b65cc09893d47765ac0925658ae35e	2.9415	1.9703	1.2952	2.9415	1.9703	0.185	15.897	10.6482	NA	0.0053	0.0138	NA	0.0083	0.037	NA
00c799f63b8289b2b606e7f2e056cf59	13.7395	0.0904	1.5324	13.7395	0.0904	0.2189	62.76	0.413	NA	1e-04	0.5409	NA	3e-04	0.6398	NA
00f6d2cccf1735abedc75afff481ba2d	1.3091	1.6318	3.309	1.3091	1.6318	0.4727	2.7693	3.452	NA	0.14	0.1055	NA	0.1643	0.1773	NA
0104f91f1cc33e553be3bfc68a517ce7	7.4487	0.0621	0.8943	7.4487	0.0621	0.1278	58.3004	0.486	NA	1e-04	0.5082	NA	4e-04	0.6086	NA
010f0a7d84a28949c78be5930457dabc	0.2582	1.3122	0.8189	0.2582	1.3122	0.117	2.2067	11.2164	NA	0.181	0.0123	NA	0.2081	0.0338	NA
0141cc500b9cfd472681696cfe8f2eb1	11.239	0.8316	0.6442	11.239	0.8316	0.092	122.1307	9.0364	NA	0	0.0198	NA	1e-04	0.0484	NA
014e0244ce0227c40879daa0bae73ee2	1.0885	0.8446	0.6681	1.0885	0.8446	0.0954	11.4055	8.8501	NA	0.0118	0.0207	NA	0.0169	0.05	NA
01532d9e56ecb072ab5a8eaa9b39de5c	2.4375	1.4162	1.541	2.4375	1.4162	0.2201	11.072	6.4329	NA	0.0126	0.0389	NA	0.018	0.082	NA
01643e1758a1b348e7e88641bbf23f77	6.3685	0.0078	1.1017	6.3685	0.0078	0.1574	40.4628	0.0494	NA	4e-04	0.8304	NA	9e-04	0.8728	NA
01651ac01a6d8f5ab55e823ecd4020b2	0.978	0.3907	0.3248	0.978	0.3907	0.0464	21.0752	8.419	NA	0.0025	0.0229	NA	0.0044	0.0545	NA
01748fb97de74d17bdb942aeaa74a1aa	1.1099	0.1348	2.794	1.1099	0.1348	0.3991	2.7807	0.3378	NA	0.1393	0.5793	NA	0.1636	0.6743	NA
01802ecadc281120b3394531f9b5bcc6	5.0866	0.1071	1.415	5.0866	0.1071	0.2021	25.1632	0.5298	NA	0.0015	0.4903	NA	0.0029	0.5925	NA
018166381b3825f4433929cd661c73b1	0.0758	2.7323	1.478	0.0758	2.7323	0.2111	0.359	12.9403	NA	0.5679	0.0088	NA	0.5981	0.0261	NA
0182ca831bc0b9e8f908b44bfae38c2f	8.4798	8.6737	1.7783	8.4798	8.6737	0.254	33.3791	34.1423	NA	7e-04	6e-04	NA	0.0014	0.0042	NA
01b59402bea919155f2b72585914dc28	4.6438	2.7645	0.8192	4.6438	2.7645	0.117	39.6804	23.6221	NA	4e-04	0.0018	NA	9e-04	0.0083	NA
01ba5a538d3091e6f291367ab4c114de	0.3964	7.3331	1.502	0.3964	7.3331	0.2146	1.8473	34.1754	NA	0.2163	6e-04	NA	0.2455	0.0042	NA
01bea577aa60b2f19561a6239f841214	9.502	0.9925	0.1807	9.502	0.9925	0.0258	368.1138	38.4498	NA	0	4e-04	NA	0	0.0034	NA
01d02aad8a625053d2284c0580b85fc2	0.5369	12.073	0.7741	0.5369	12.073	0.1106	4.8553	109.1756	NA	0.0634	0	NA	0.0791	6e-04	NA
01ec87fc65833175cd78632f91b9c013	0.3027	0.1466	0.8651	0.3027	0.1466	0.1236	2.4493	1.186	NA	0.1616	0.3122	NA	0.1873	0.4175	NA
01eeb07eabe250603ae069b7c9a1b78a	21.9506	0.0078	2.0114	21.9506	0.0078	0.2873	76.392	0.027	NA	1e-04	0.874	NA	2e-04	0.9072	NA
01f0a8d66a3f6ce7f33c54275e96b372	2.0981	0.1046	0.7878	2.0981	0.1046	0.1125	18.6428	0.9298	NA	0.0035	0.367	NA	0.0058	0.4737	NA
0210cce2ce54f6190c25524b42462d35	8.7687	0.0926	1.4684	8.7687	0.0926	0.2098	41.8011	0.4415	NA	3e-04	0.5277	NA	8e-04	0.6273	NA
021b2869c2627d813d2146e5a70b97da	0.1235	2.3127	0.9505	0.1235	2.3127	0.1358	0.9094	17.0323	NA	0.372	0.0044	NA	0.4048	0.0156	NA
021c5fad1f1dcf7f5a8f2180e695338d	2.0628	0.0977	0.4857	2.0628	0.0977	0.0694	29.727	1.4084	NA	0.001	0.274	NA	0.0019	0.3754	NA
022ffb62b99d7950cce0c04b7db390a5	6.3955	1.7308	0.5121	6.3955	1.7308	0.0732	87.4251	23.6598	NA	0	0.0018	NA	2e-04	0.0083	NA
0232656cb29c5e35e407aa7f91e22343	4.691	0.6092	2.76	4.691	0.6092	0.3943	11.8974	1.545	NA	0.0107	0.2539	NA	0.0155	0.3532	NA
023e44ea52bc5f894fd36692e0df6ef5	0.5512	0.1586	0.7306	0.5512	0.1586	0.1044	5.2815	1.5195	NA	0.0551	0.2575	NA	0.0697	0.3572	NA
023fa2f94fb9dae88485aa96f3adc67d	8.7803	1.0769	0.3549	8.7803	1.0769	0.0507	173.1573	21.2374	NA	0	0.0025	NA	1e-04	0.0102	NA
0241e3fe915ef4b4685394ee622017ad	10.9254	0.0163	1.0929	10.9254	0.0163	0.1561	69.976	0.1044	NA	1e-04	0.756	NA	3e-04	0.8172	NA
0244cf9b127275065b7596de45620f3c	2.0003	2.2914	1.2688	2.0003	2.2914	0.1813	11.0352	12.6414	NA	0.0127	0.0093	NA	0.0182	0.0274	NA
02732f74813ddeb7926f68edd6501d34	1.3309	1.2297	0.6216	1.3309	1.2297	0.0888	14.988	13.8482	NA	0.0061	0.0074	NA	0.0094	0.0229	NA
02a7f8b0c2948b30f12e8f1ba0c89a9c	2.221	0.4361	0.6176	2.221	0.4361	0.0882	25.1726	4.9431	NA	0.0015	0.0616	NA	0.0029	0.1149	NA
02b33d576f65cc2a7b11d181440278fe	4.6191	5.8324	0.1913	4.6191	5.8324	0.0273	169.0408	213.4452	NA	0	0	NA	1e-04	2e-04	NA
02f7ae8d3ebef446b8cdc7951ccb98e4	22.3011	0.3242	18.4038	22.3011	0.3242	2.6291	8.4824	0.1233	NA	0.0226	0.7358	NA	0.0309	0.8021	NA
02f81e70a39d7aabe08a9bb96d7eda18	4.3887	0.7065	0.9284	4.3887	0.7065	0.1326	33.0894	5.3268	NA	7e-04	0.0543	NA	0.0015	0.105	NA
02fc99024f1d6416a67768753b4d0db4	3.412	0.1375	1.177	3.412	0.1375	0.1681	20.2917	0.8176	NA	0.0028	0.3959	NA	0.0048	0.5027	NA
0308e44d8c5c89fef7d2aa63090a9a8c	32.0634	0.2198	7.3545	32.0634	0.2198	1.0506	30.5177	0.2092	NA	9e-04	0.6613	NA	0.0018	0.7426	NA
0316f5eb4d9b051e65b40cebf08edbba	0.3527	2.0147	0.4941	0.3527	2.0147	0.0706	4.9975	28.5441	NA	0.0605	0.0011	NA	0.0758	0.0059	NA
033d19faa0ce86082c0215df5bffbdb5	3.4908	1.1923	0.8831	3.4908	1.1923	0.1262	27.6705	9.4512	NA	0.0012	0.018	NA	0.0023	0.0451	NA
03522a86e8b54bd9508023e65e04dfd1	7.9741	0.0074	4.0346	7.9741	0.0074	0.5764	13.835	0.0128	NA	0.0075	0.913	NA	0.0113	0.936	NA
03576e58e1c6ff8ce50c0fadbbf4860b	8.3102	7.877	6.0865	8.3102	7.877	0.8695	9.5575	9.0592	NA	0.0175	0.0197	NA	0.0244	0.0483	NA
035ad00cb4268363afb29c9db102e959	0.4736	0.0011	0.2513	0.4736	0.0011	0.0359	13.1921	0.0311	NA	0.0084	0.865	NA	0.0125	0.9002	NA
0362c5f6815777388ea02ff51947c85e	9.3727	0.0043	0.2532	9.3727	0.0043	0.0362	259.1043	0.1176	NA	0	0.7417	NA	0	0.8066	NA
0366632c1fdcf16e8c7b8699f543b6a6	6.9423	0.1969	0.3815	6.9423	0.1969	0.0545	127.3704	3.6116	NA	0	0.0991	NA	1e-04	0.1685	NA
036fd95372a59cb54c18db11e833a6e5	0.193	8.6494	2.629	0.193	8.6494	0.3756	0.514	23.0299	NA	0.4966	0.002	NA	0.5284	0.0088	NA
037524aa568740056509743fc5a5ffb5	1.7846	2.7184	0.2544	1.7846	2.7184	0.0363	49.1119	74.8118	NA	2e-04	1e-04	NA	6e-04	0.001	NA
037629b625ef6f2c028855723fc4c92a	1.0727	0.012	0.4636	1.0727	0.012	0.0662	16.1967	0.1815	NA	0.005	0.6829	NA	0.0079	0.7606	NA
0386c2c39453985371b1e0a028dae5bd	0.2746	19.7918	1.4617	0.2746	19.7918	0.2088	1.3151	94.7788	NA	0.2892	0	NA	0.3209	7e-04	NA
03a7140d58c2f4370a116f4370db71b2	34.8032	0.0139	1.1321	34.8032	0.0139	0.1617	215.193	0.0861	NA	0	0.7777	NA	1e-04	0.8332	NA
03aa788c08141e567920d07949ef1597	1.5293	3.2417	0.7813	1.5293	3.2417	0.1116	13.7005	29.0423	NA	0.0076	0.001	NA	0.0115	0.0057	NA
03b17bf8dedf92c8881ef5a0fe401e0a	0.0068	1.5456	1.8215	0.0068	1.5456	0.2602	0.0263	5.9398	NA	0.8758	0.0449	NA	0.8892	0.092	NA
03c3804b27717d58097d438f97396ac2	1.5758	1.5058	8.2784	1.5758	1.5058	1.1826	1.3324	1.2733	NA	0.2863	0.2963	NA	0.3179	0.399	NA
03c8db48682689471210f0607196e83c	8e-04	1.0854	1.7839	8e-04	1.0854	0.2548	0.0031	4.2593	NA	0.9569	0.0779	NA	0.9612	0.1385	NA
03f1014e7b49b7d27f67c5e9d6cf9f5a	8.4357	0.1481	0.9151	8.4357	0.1481	0.1307	64.5266	1.1326	NA	1e-04	0.3226	NA	3e-04	0.4279	NA
03f189aa58435a27b6de7eb961b20307	3.0586	0.2334	0.6866	3.0586	0.2334	0.0981	31.1817	2.3796	NA	8e-04	0.1668	NA	0.0017	0.255	NA
