treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00089b46831e8ef8664d2a632b8145c5	1.5256	0.4853	2.5822	1.5256	0.4853	0.2869	5.3172	1.6914	NA	0.0465	0.2257	NA	0.0612	0.2961	NA
002707428636a815354367f102120956	3.1216	8.4735	2.4737	3.1216	8.4735	0.2749	11.3573	30.8293	NA	0.0083	4e-04	NA	0.0131	0.0019	NA
002f1a45b5c69d673731dd633504a01e	6.4953	1.9886	2.2919	6.4953	1.9886	0.2547	25.5062	7.8092	NA	7e-04	0.0209	NA	0.0016	0.0411	NA
00361d4ec0f6bc9593b3365b7718c95b	14.1442	18.4927	1.4263	14.1442	18.4927	0.1585	89.252	116.6914	NA	0	0	NA	1e-04	1e-04	NA
0036d59b9c2c58b22fd5945b4aa3f348	14.8154	1.1707	0.5956	14.8154	1.1707	0.0662	223.8658	17.6893	NA	0	0.0023	NA	0	0.0072	NA
0046281d7bcee40b30209fff59cb8a72	2.6843	5.199	2.9256	2.6843	5.199	0.3251	8.2578	15.9935	NA	0.0184	0.0031	NA	0.0265	0.0091	NA
005c9aeb0fcf676d0c82c53e266f6c7e	0.1622	0.1849	2.7392	0.1622	0.1849	0.3044	0.5329	0.6077	NA	0.4839	0.4557	NA	0.5162	0.5309	NA
005e34772346d65b74ff2f90ea4ec0ee	7.9056	1.3587	3.7847	7.9056	1.3587	0.4205	18.7995	3.231	NA	0.0019	0.1058	NA	0.0037	0.1571	NA
008277a5fd42cb04f88c34a26df200ce	3.6827	2e-04	5.1906	3.6827	2e-04	0.5767	6.3854	3e-04	NA	0.0324	0.9856	NA	0.0441	0.9886	NA
00b05a391e262ebf75433a5901c94f69	9.2046	3.1036	1.2646	9.2046	3.1036	0.1405	65.51	22.0886	NA	0	0.0011	NA	1e-04	0.0043	NA
00b65cc09893d47765ac0925658ae35e	3.93	1.7644	3.1974	3.93	1.7644	0.3553	11.0619	4.9664	NA	0.0089	0.0528	NA	0.0139	0.0875	NA
00c799f63b8289b2b606e7f2e056cf59	10.4196	0.2537	2.4132	10.4196	0.2537	0.2681	38.8602	0.9462	NA	2e-04	0.3561	NA	5e-04	0.4333	NA
00f6d2cccf1735abedc75afff481ba2d	3.2935	1e-04	5.2819	3.2935	1e-04	0.5869	5.6119	1e-04	NA	0.042	0.9911	NA	0.0558	0.9923	NA
0104f91f1cc33e553be3bfc68a517ce7	13.7692	0.0367	1.3644	13.7692	0.0367	0.1516	90.824	0.2419	NA	0	0.6346	NA	0	0.6936	NA
010f0a7d84a28949c78be5930457dabc	1.2972	0.0086	1.7816	1.2972	0.0086	0.198	6.5532	0.0435	NA	0.0307	0.8394	NA	0.0421	0.868	NA
01383a16d0d8314d5b7f3ee30ff5cbcb	1.1503	0.9485	3.2455	1.1503	0.9485	0.3606	3.19	2.6303	NA	0.1077	0.1393	NA	0.1319	0.1974	NA
0141cc500b9cfd472681696cfe8f2eb1	10.9951	5.1157	2.6417	10.9951	5.1157	0.2935	37.4585	17.4285	NA	2e-04	0.0024	NA	6e-04	0.0075	NA
014e0244ce0227c40879daa0bae73ee2	2.9228	7.7176	1.7021	2.9228	7.7176	0.1891	15.4546	40.8079	NA	0.0035	1e-04	NA	0.0061	0.001	NA
01532d9e56ecb072ab5a8eaa9b39de5c	3.8933	5.8554	0.9953	3.8933	5.8554	0.1106	35.2039	52.9465	NA	2e-04	0	NA	7e-04	5e-04	NA
015d0a9ef9e5e74e6a46eb8ee8ca202e	0.607	7.6689	6.6202	0.607	7.6689	0.7356	0.8253	10.4257	NA	0.3873	0.0103	NA	0.4198	0.0234	NA
016131c962c5b8b9fa691ffd928a7ad7	2.0932	4.886	2.1263	2.0932	4.886	0.2363	8.8601	20.681	NA	0.0155	0.0014	NA	0.0229	0.005	NA
01651ac01a6d8f5ab55e823ecd4020b2	3.7123	1.2745	1.6853	3.7123	1.2745	0.1873	19.8243	6.8064	NA	0.0016	0.0283	NA	0.0032	0.0523	NA
01802ecadc281120b3394531f9b5bcc6	11.9634	4.7676	1.7008	11.9634	4.7676	0.189	63.3067	25.2287	NA	0	7e-04	NA	1e-04	0.0031	NA
018166381b3825f4433929cd661c73b1	0.0385	2.9617	3.2619	0.0385	2.9617	0.3624	0.1061	8.1716	NA	0.7521	0.0188	NA	0.772	0.038	NA
0182ca831bc0b9e8f908b44bfae38c2f	15.1123	0.1682	2.1105	15.1123	0.1682	0.2345	64.446	0.7173	NA	0	0.419	NA	1e-04	0.4954	NA
01b59402bea919155f2b72585914dc28	6.5511	1.7419	1.7772	6.5511	1.7419	0.1975	33.1763	8.8213	NA	3e-04	0.0157	NA	8e-04	0.0328	NA
01ba5a538d3091e6f291367ab4c114de	1.3482	2.6497	3.2768	1.3482	2.6497	0.3641	3.703	7.2776	NA	0.0865	0.0245	NA	0.1078	0.0467	NA
01bea577aa60b2f19561a6239f841214	10.4323	0.7695	1.5621	10.4323	0.7695	0.1736	60.106	4.4338	NA	0	0.0645	NA	1e-04	0.1037	NA
01ec87fc65833175cd78632f91b9c013	0	0.0317	2.0947	0	0.0317	0.2327	0	0.1362	NA	0.9985	0.7206	NA	0.9985	0.7674	NA
