treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
0026fcece5bad932ca77e9b27dd8c599	1.6174	0.4301	1.6537	1.6174	0.4301	0.2362	6.8465	1.8206	NA	0.0346	0.2193	NA	0.0521	0.3419	NA
00306dbb19665982fc78754ac92927bf	0.2109	0.115	2.7691	0.2109	0.115	0.3956	0.5332	0.2908	NA	0.489	0.6064	NA	0.5288	0.7073	NA
0032aede248babc5516f057b3bcd4409	1.0848	0.0731	1.1065	1.0848	0.0731	0.1581	6.8624	0.4627	NA	0.0344	0.5182	NA	0.0519	0.6301	NA
0034860642bb665e3bc98da83b24f6f7	0.6346	2.7026	1.7837	0.6346	2.7026	0.2548	2.4902	10.6062	NA	0.1586	0.0139	NA	0.1921	0.0545	NA
0051ee453ff489fa79b20379bcc79b6b	3.2579	3.4208	1.1581	3.2579	3.4208	0.1654	19.6926	20.6776	NA	0.003	0.0026	NA	0.022	0.0206	NA
00539cb2af8b7b06ee1279130fa2f307	6.7642	0.6397	2.4338	6.7642	0.6397	0.3477	19.4547	1.8398	NA	0.0031	0.2171	NA	0.022	0.3401	NA
006c80037cfc5a276d7d1b8ef20cdccd	3.4465	0.0079	2.2012	3.4465	0.0079	0.3145	10.96	0.025	NA	0.0129	0.8789	NA	0.0269	0.9155	NA
00823592d773ca77be3da202ae020b29	2.0569	11.6523	0.9638	2.0569	11.6523	0.1377	14.939	84.6311	NA	0.0062	0	NA	0.0222	0.0021	NA
0092362bbf11972deda26d5b9e919f85	5.5639	3.0829	6.1378	5.5639	3.0829	0.8768	6.3455	3.516	NA	0.0399	0.1029	NA	0.0584	0.2016	NA
0095b52bd61b59e97345c0564dc8496e	0.2158	2.9551	1.5857	0.2158	2.9551	0.2265	0.9528	13.0449	NA	0.3615	0.0086	NA	0.4021	0.0406	NA
00c4a692e67b1c93a289ffcae447cfcf	6.5945	1.4039	5.3847	6.5945	1.4039	0.7692	8.5726	1.8251	NA	0.0221	0.2187	NA	0.0375	0.3415	NA
00cee8684ccbb62fce87c20103b8aed2	4.4004	2.7893	3.0839	4.4004	2.7893	0.4406	9.9884	6.3314	NA	0.0159	0.04	NA	0.03	0.107	NA
