treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00306dbb19665982fc78754ac92927bf	0.8221	4.5261	5.3977	0.8221	4.5261	0.5997	1.3708	7.5467	NA	0.2717	0.0226	NA	0.3082	0.0476	NA
0051ee453ff489fa79b20379bcc79b6b	3.414	3.8523	2.8284	3.414	3.8523	0.3143	10.8634	12.2581	NA	0.0093	0.0067	NA	0.0183	0.0201	NA
00539cb2af8b7b06ee1279130fa2f307	8.5124	3.2835	3.5271	8.5124	3.2835	0.3919	21.7207	8.3784	NA	0.0012	0.0178	NA	0.0081	0.0392	NA
006c80037cfc5a276d7d1b8ef20cdccd	0.606	2.8915	4.7632	0.606	2.8915	0.5292	1.145	5.4634	NA	0.3125	0.0442	NA	0.3493	0.0796	NA
00823592d773ca77be3da202ae020b29	4.069	10.0188	3.5997	4.069	10.0188	0.4	10.1733	25.0491	NA	0.011	7e-04	NA	0.0208	0.0048	NA
0092362bbf11972deda26d5b9e919f85	13.8387	0.0261	3.579	13.8387	0.0261	0.3977	34.7998	0.0656	NA	2e-04	0.8036	NA	0.0081	0.8491	NA
0095b52bd61b59e97345c0564dc8496e	0.3119	30.89	2.657	0.3119	30.89	0.2952	1.0565	104.635	NA	0.3309	0	NA	0.3681	3e-04	NA
00a550b3fa43f178639afb2a02540b16	1.0667	1.0504	10.3863	1.0667	1.0504	1.154	0.9243	0.9102	NA	0.3615	0.365	NA	0.3983	0.4486	NA
00cee8684ccbb62fce87c20103b8aed2	6.7218	8.4949	4.9309	6.7218	8.4949	0.5479	12.2688	15.505	NA	0.0067	0.0034	NA	0.0148	0.0129	NA
011b116b1e264e2cde7ec36aa569ad7c	10.1895	10.2086	4.3076	10.1895	10.2086	0.4786	21.2894	21.3292	NA	0.0013	0.0013	NA	0.0081	0.0066	NA
0127000197e26a049598b4a6d0225ba2	3.3485	0.5416	4.2365	3.3485	0.5416	0.4707	7.1136	1.1505	NA	0.0257	0.3114	NA	0.0396	0.395	NA
013c9c13c8d7029019462bef0627adba	7.3925	12.1846	6.2199	7.3925	12.1846	0.6911	10.6966	17.6307	NA	0.0097	0.0023	NA	0.0189	0.0098	NA
015116cb2ae1efade79e1af688f3c15b	3.4086	2.9704	4.8264	3.4086	2.9704	0.5363	6.3562	5.5389	NA	0.0327	0.0431	NA	0.0481	0.0781	NA
01524ceb0052552ad3c425bf777b0b3a	5.1608	21.4498	1.6603	5.1608	21.4498	0.1845	27.9744	116.2705	NA	5e-04	0	NA	0.0081	2e-04	NA
0160f5a856b526939ba1062b1cc9df76	9.6891	2.8579	5.4249	9.6891	2.8579	0.6028	16.0744	4.7413	NA	0.0031	0.0574	NA	0.0099	0.0981	NA
017a60cbade7b309db182bcabe59d6a4	6.4358	0.0614	15.1834	6.4358	0.0614	1.687	3.8149	0.0364	NA	0.0825	0.8529	NA	0.1061	0.8876	NA
017d459400583fe36857c77a1d541f39	3.7095	4.5753	3.8798	3.7095	4.5753	0.4311	8.6048	10.6132	NA	0.0167	0.0099	NA	0.0284	0.0259	NA
018de0ee05bc68de9383baf688539f9f	8.1197	0.0636	2.2552	8.1197	0.0636	0.2506	32.4039	0.2538	NA	3e-04	0.6265	NA	0.0081	0.695	NA
019ee757485f09fa0c7881843036a765	1.1109	0.2526	3.5002	1.1109	0.2526	0.3889	2.8565	0.6495	NA	0.1253	0.4411	NA	0.1543	0.5213	NA
019f94720ba42ef1861b87fc58cdd3de	4.8425	23.9185	10.0681	4.8425	23.9185	1.1187	4.3288	21.381	NA	0.0672	0.0012	NA	0.0888	0.0066	NA
01ac16555e036cea2ece2a239591aae6	5.3326	5.8553	2.9493	5.3326	5.8553	0.3277	16.2728	17.8679	NA	0.003	0.0022	NA	0.0099	0.0095	NA
01e013346904f75a91f713c559585ff7	1.4458	3.3352	7.6807	1.4458	3.3352	0.8534	1.6941	3.9081	NA	0.2254	0.0795	NA	0.2594	0.127	NA
01e9bb0d97f8ed373a8d529ffb971acc	4.412	5.4083	1.9492	4.412	5.4083	0.2166	20.3713	24.9717	NA	0.0015	7e-04	NA	0.0081	0.0048	NA
01feb696b69822d637cdf0956d28bad4	35.8853	2.2796	24.24	35.8853	2.2796	2.6933	13.3238	0.8464	NA	0.0053	0.3816	NA	0.0129	0.4651	NA
02104476719f02b32307edfdb1e6a0c4	5.2352	3.0321	2.4347	5.2352	3.0321	0.2705	19.3525	11.2085	NA	0.0017	0.0086	NA	0.0084	0.0237	NA
02266378f920e88e1dac1ed916c48ff6	7.1828	5.0317	4.7172	7.1828	5.0317	0.5241	13.7041	9.6	NA	0.0049	0.0128	NA	0.0124	0.031	NA
022b87e073ba519506a6d0d9dac1bba1	8.0676	0.294	3.0459	8.0676	0.294	0.3384	23.8377	0.8688	NA	9e-04	0.3756	NA	0.0081	0.4592	NA
02556710e6071f6303dfb662fc79f6b6	4.5074	0.9308	2.523	4.5074	0.9308	0.2803	16.0785	3.3204	NA	0.0031	0.1017	NA	0.0099	0.1557	NA
026f6d9d6a5c591d5465aaeddf6222f1	6.8181	4.4392	3.2685	6.8181	4.4392	0.3632	18.7741	12.2238	NA	0.0019	0.0068	NA	0.0087	0.0202	NA
027ee5073ec17a7192c3036f2b817f18	3.5737	13.9736	3.7347	3.5737	13.9736	0.415	8.6119	33.6738	NA	0.0166	3e-04	NA	0.0283	0.0026	NA
028a375a3a51f2d5d05b85cf4ef10890	4.6868	14.7224	2.39	4.6868	14.7224	0.2656	17.6486	55.4389	NA	0.0023	0	NA	0.0089	0.001	NA
02a63d174c8502c109303db99cf1e437	5.8773	4.857	2.153	5.8773	4.857	0.2392	24.5681	20.3028	NA	8e-04	0.0015	NA	0.0081	0.0074	NA
02adf979cb3500c39977fffbf7d2a048	5.1521	0.074	3.3532	5.1521	0.074	0.3726	13.8283	0.1985	NA	0.0048	0.6665	NA	0.0122	0.7299	NA
02c00510d4deae8d414f84d4af078919	0.0121	2.128	2.6093	0.0121	2.128	0.2899	0.0417	7.3401	NA	0.8427	0.024	NA	0.8571	0.0498	NA
02c19d40dee2d87c409a2e2f7b713d7f	5.3244	4.3736	3.1065	5.3244	4.3736	0.3452	15.4253	12.6709	NA	0.0035	0.0061	NA	0.0105	0.0189	NA
02ccf6f06e50ce9c5e49ffe2278c9f27	18.4158	3.0553	10.0531	18.4158	3.0553	1.117	16.4866	2.7352	NA	0.0028	0.1325	NA	0.0098	0.1933	NA
02db2ad8ae83f16a31add624ea4ad90e	1.195	0.7006	1.2656	1.195	0.7006	0.1406	8.4982	4.9821	NA	0.0172	0.0525	NA	0.029	0.0913	NA
02ed78575eba82d038ec26a744d9b6c5	0.4357	9.1078	1.7963	0.4357	9.1078	0.1996	2.183	45.6337	NA	0.1737	1e-04	NA	0.2065	0.0015	NA
03202b02066380ba1d7fadbf07ec658a	0.4192	15.0812	4.2592	0.4192	15.0812	0.4732	0.8858	31.8679	NA	0.3712	3e-04	NA	0.4072	0.003	NA
