treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
0026fcece5bad932ca77e9b27dd8c599	2.5091	0.3082	1.3924	2.5091	0.3082	0.1547	16.2172	1.9922	NA	0.003	0.1917	NA	0.0051	0.3416	NA
00306dbb19665982fc78754ac92927bf	0.5591	0.0111	2.9816	0.5591	0.0111	0.3313	1.6876	0.0334	NA	0.2262	0.859	NA	0.2559	0.9192	NA
0032aede248babc5516f057b3bcd4409	1.6134	1.3057	0.733	1.6134	1.3057	0.0814	19.8102	16.032	NA	0.0016	0.0031	NA	0.0032	0.0193	NA
0034860642bb665e3bc98da83b24f6f7	3.2305	0.0816	1.4424	3.2305	0.0816	0.1603	20.1568	0.5093	NA	0.0015	0.4935	NA	0.0031	0.6456	NA
0051ee453ff489fa79b20379bcc79b6b	3.1195	0.4084	1.1991	3.1195	0.4084	0.1332	23.4132	3.0654	NA	9e-04	0.1139	NA	0.0023	0.2384	NA
00539cb2af8b7b06ee1279130fa2f307	10.6845	1.9448	2.8391	10.6845	1.9448	0.3155	33.8697	6.1649	NA	3e-04	0.0348	NA	0.0016	0.1056	NA
006c80037cfc5a276d7d1b8ef20cdccd	0.0093	0.0382	3.1793	0.0093	0.0382	0.3533	0.0263	0.1083	NA	0.8747	0.7496	NA	0.8869	0.8495	NA
00823592d773ca77be3da202ae020b29	2.9591	2.205	1.097	2.9591	2.205	0.1219	24.2783	18.0907	NA	8e-04	0.0021	NA	0.0022	0.0153	NA
008810a5ca2332a04d285ca396b6a5f1	5.4105	1.0565	1.9767	5.4105	1.0565	0.2196	24.6343	4.8104	NA	8e-04	0.056	NA	0.0021	0.1479	NA
0092362bbf11972deda26d5b9e919f85	11.2924	0.8005	4.1901	11.2924	0.8005	0.4656	24.2553	1.7193	NA	8e-04	0.2222	NA	0.0022	0.3779	NA
0095b52bd61b59e97345c0564dc8496e	0.1229	2.5626	1.7126	0.1229	2.5626	0.1903	0.6461	13.4675	NA	0.4422	0.0052	NA	0.4768	0.0272	NA
00a550b3fa43f178639afb2a02540b16	12.3188	0.1341	2.0009	12.3188	0.1341	0.2223	55.409	0.6033	NA	0	0.4573	NA	0.001	0.6146	NA
00b08f570ae6322b03af00df9230f86d	5.702	0.7162	2.2444	5.702	0.7162	0.2494	22.8647	2.8718	NA	0.001	0.1244	NA	0.0024	0.2533	NA
00c4a692e67b1c93a289ffcae447cfcf	9.5489	1.0356	5.3853	9.5489	1.0356	0.5984	15.9581	1.7307	NA	0.0031	0.2209	NA	0.0053	0.377	NA
00c6a28930e3eafc29b6cf8827820e4c	0.0535	0.5276	0.9542	0.0535	0.5276	0.106	0.5044	4.9769	NA	0.4955	0.0526	NA	0.5286	0.1416	NA
00cee8684ccbb62fce87c20103b8aed2	6.5927	0.4805	3.9043	6.5927	0.4805	0.4338	15.197	1.1075	NA	0.0036	0.3201	NA	0.0059	0.4823	NA
