treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
0026fcece5bad932ca77e9b27dd8c599	1.8323	0.2476	1.8449	1.8323	0.2476	0.205	8.9384	1.2079	NA	0.0152	0.3003	NA	0.0222	0.4724	NA
00306dbb19665982fc78754ac92927bf	0.24	1.8538	2.4906	0.24	1.8538	0.2767	0.8671	6.699	NA	0.3761	0.0293	NA	0.4105	0.0977	NA
0032aede248babc5516f057b3bcd4409	2.4236	0.1376	0.9815	2.4236	0.1376	0.1091	22.2224	1.2619	NA	0.0011	0.2904	NA	0.0059	0.4609	NA
0034860642bb665e3bc98da83b24f6f7	2.2793	5.8864	1.2131	2.2793	5.8864	0.1348	16.9106	43.6723	NA	0.0026	1e-04	NA	0.0075	0.0019	NA
0051ee453ff489fa79b20379bcc79b6b	2.958	0.234	1.5091	2.958	0.234	0.1677	17.6416	1.3954	NA	0.0023	0.2678	NA	0.0072	0.4361	NA
00539cb2af8b7b06ee1279130fa2f307	8.5015	0.513	3.5177	8.5015	0.513	0.3909	21.7512	1.3126	NA	0.0012	0.2815	NA	0.006	0.4509	NA
006c80037cfc5a276d7d1b8ef20cdccd	11.747	0.2095	6.056	11.747	0.2095	0.6729	17.4575	0.3113	NA	0.0024	0.5905	NA	0.0073	0.7354	NA
00823592d773ca77be3da202ae020b29	3.6166	2.0887	1.2483	3.6166	2.0887	0.1387	26.0755	15.0591	NA	6e-04	0.0037	NA	0.0054	0.0231	NA
008810a5ca2332a04d285ca396b6a5f1	4.0191	1.3334	2.5748	4.0191	1.3334	0.2861	14.0483	4.6606	NA	0.0046	0.0592	NA	0.0095	0.1571	NA
0092362bbf11972deda26d5b9e919f85	9.4732	1.9858	4.2903	9.4732	1.9858	0.4767	19.8724	4.1657	NA	0.0016	0.0716	NA	0.0064	0.1792	NA
0095b52bd61b59e97345c0564dc8496e	0.0895	10.4897	1.1436	0.0895	10.4897	0.1271	0.7042	82.5494	NA	0.4231	0	NA	0.4572	4e-04	NA
00a550b3fa43f178639afb2a02540b16	2.728	5.3527	3.1312	2.728	5.3527	0.3479	7.8411	15.3853	NA	0.0207	0.0035	NA	0.0289	0.0218	NA
00b08f570ae6322b03af00df9230f86d	6.5228	0.0612	1.7022	6.5228	0.0612	0.1891	34.4883	0.3234	NA	2e-04	0.5835	NA	0.0042	0.7301	NA
00c4a692e67b1c93a289ffcae447cfcf	6.2974	0.0776	5.8888	6.2974	0.0776	0.6543	9.6245	0.1186	NA	0.0127	0.7385	NA	0.0192	0.8387	NA
00c6a28930e3eafc29b6cf8827820e4c	0.0478	0.008	0.6831	0.0478	0.008	0.0759	0.6302	0.1058	NA	0.4477	0.7524	NA	0.4819	0.8494	NA
00cee8684ccbb62fce87c20103b8aed2	5.2179	1.8935	3.8235	5.2179	1.8935	0.4248	12.2823	4.4572	NA	0.0067	0.0639	NA	0.0118	0.1644	NA
00d413ed2e7ee7dd251ede7c7ed3ff78	2.8163	4.8282	1.1045	2.8163	4.8282	0.1227	22.9491	39.3442	NA	0.001	1e-04	NA	0.0057	0.0024	NA
011b116b1e264e2cde7ec36aa569ad7c	8.373	2.7645	3.8416	8.373	2.7645	0.4268	19.616	6.4765	NA	0.0016	0.0315	NA	0.0065	0.1023	NA
0127000197e26a049598b4a6d0225ba2	4.3181	0.1411	4.2748	4.3181	0.1411	0.475	9.0912	0.297	NA	0.0146	0.599	NA	0.0214	0.7415	NA
013c9c13c8d7029019462bef0627adba	7.8248	0.1277	6.0964	7.8248	0.1277	0.6774	11.5517	0.1886	NA	0.0079	0.6743	NA	0.0133	0.7946	NA
015116cb2ae1efade79e1af688f3c15b	0.3714	3.7014	0.8951	0.3714	3.7014	0.0995	3.7337	37.2146	NA	0.0854	2e-04	NA	0.1034	0.0028	NA
01525c063123cb2134c64e84ad1e2118	6.9748	1.179	1.9224	6.9748	1.179	0.2136	32.6537	5.5197	NA	3e-04	0.0433	NA	0.0045	0.1256	NA
0160f5a856b526939ba1062b1cc9df76	6.3158	0.2951	6.1138	6.3158	0.2951	0.6793	9.2973	0.4343	NA	0.0138	0.5264	NA	0.0205	0.6854	NA
017a60cbade7b309db182bcabe59d6a4	1.1491	0.0614	5.8464	1.1491	0.0614	0.6496	1.769	0.0946	NA	0.2162	0.7654	NA	0.2459	0.859	NA
017d459400583fe36857c77a1d541f39	3.5264	0.0012	1.5228	3.5264	0.0012	0.1692	20.8416	0.0073	NA	0.0014	0.9336	NA	0.0061	0.9595	NA
018de0ee05bc68de9383baf688539f9f	5.7644	1.3816	3.2951	5.7644	1.3816	0.3661	15.7444	3.7737	NA	0.0033	0.084	NA	0.0081	0.2004	NA
019ee757485f09fa0c7881843036a765	0.084	0.0241	1.9386	0.084	0.0241	0.2154	0.3901	0.112	NA	0.5478	0.7455	NA	0.5798	0.8437	NA
019f94720ba42ef1861b87fc58cdd3de	5.5413	2.1945	4.3845	5.5413	2.1945	0.4872	11.3743	4.5046	NA	0.0082	0.0628	NA	0.0137	0.1627	NA
01ac16555e036cea2ece2a239591aae6	6.079	0.0054	3.6963	6.079	0.0054	0.4107	14.8014	0.0131	NA	0.0039	0.9115	NA	0.0087	0.9452	NA
01b2f3b340d5c58058b29719f8ce8d4e	0.0483	0.2257	0.3866	0.0483	0.2257	0.043	1.1255	5.2556	NA	0.3164	0.0476	NA	0.35	0.1346	NA
01e013346904f75a91f713c559585ff7	0.4046	0.1137	1.7134	0.4046	0.1137	0.1904	2.1252	0.5975	NA	0.1789	0.4594	NA	0.2056	0.6269	NA
