treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
0026fcece5bad932ca77e9b27dd8c599	2.9172	1.2119	1.6694	2.9172	1.2119	0.2385	12.2323	5.0818	NA	0.01	0.0588	NA	0.0161	0.1215	NA
00306dbb19665982fc78754ac92927bf	3.091	2.4242	0.8331	3.091	2.4242	0.119	25.9702	20.3683	NA	0.0014	0.0028	NA	0.0042	0.0139	NA
0032aede248babc5516f057b3bcd4409	1.5218	0.3627	0.972	1.5218	0.3627	0.1389	10.959	2.612	NA	0.0129	0.1501	NA	0.0198	0.2414	NA
0034860642bb665e3bc98da83b24f6f7	1.0341	0.2768	0.9712	1.0341	0.2768	0.1387	7.4536	1.9948	NA	0.0293	0.2007	NA	0.04	0.3016	NA
0051ee453ff489fa79b20379bcc79b6b	3.5564	2.0076	0.6438	3.5564	2.0076	0.092	38.6669	21.828	NA	4e-04	0.0023	NA	0.0029	0.0124	NA
00539cb2af8b7b06ee1279130fa2f307	8.0637	0.0253	1.0959	8.0637	0.0253	0.1566	51.5054	0.1618	NA	2e-04	0.6995	NA	0.0024	0.7758	NA
006c80037cfc5a276d7d1b8ef20cdccd	17.502	0.248	2.3166	17.502	0.248	0.3309	52.8851	0.7494	NA	2e-04	0.4154	NA	0.0024	0.5268	NA
00823592d773ca77be3da202ae020b29	2.9998	4.4982	0.4231	2.9998	4.4982	0.0604	49.6301	74.4205	NA	2e-04	1e-04	NA	0.0025	0.0018	NA
0092362bbf11972deda26d5b9e919f85	4.6737	0.2454	3.8209	4.6737	0.2454	0.5458	8.5623	0.4496	NA	0.0221	0.524	NA	0.0313	0.6273	NA
0095b52bd61b59e97345c0564dc8496e	0.8523	1.3872	0.627	0.8523	1.3872	0.0896	9.5144	15.4865	NA	0.0177	0.0056	NA	0.0259	0.0223	NA
00a811735beb8aad554772043d92e96f	6.7403	0.1583	1.1563	6.7403	0.1583	0.1652	40.8053	0.9582	NA	4e-04	0.3602	NA	0.0027	0.4736	NA
00bcc118d77be26d37aa6816c6eec493	7.6867	0.1619	0.2756	7.6867	0.1619	0.0394	195.2553	4.1132	NA	0	0.0821	NA	8e-04	0.1564	NA
00c4a692e67b1c93a289ffcae447cfcf	9.6875	0.8756	2.3446	9.6875	0.8756	0.3349	28.923	2.6141	NA	0.001	0.15	NA	0.0037	0.2414	NA
00cee8684ccbb62fce87c20103b8aed2	3.3517	8.4153	0.9709	3.3517	8.4153	0.1387	24.1649	60.6715	NA	0.0017	1e-04	NA	0.0047	0.0024	NA
00d413ed2e7ee7dd251ede7c7ed3ff78	2.0456	9.3893	1.2225	2.0456	9.3893	0.1746	11.7127	53.7616	NA	0.0111	2e-04	NA	0.0174	0.0029	NA
0112c347c6def14a99ba74cd77bfc94d	4.4559	0.0072	1.21	4.4559	0.0072	0.1729	25.7779	0.0415	NA	0.0014	0.8444	NA	0.0043	0.8907	NA
011b116b1e264e2cde7ec36aa569ad7c	9.1971	0.4652	2.0004	9.1971	0.4652	0.2858	32.1826	1.6277	NA	8e-04	0.2427	NA	0.0033	0.3483	NA
0127000197e26a049598b4a6d0225ba2	6.0009	0.3222	0.3764	6.0009	0.3222	0.0538	111.6116	5.9925	NA	0	0.0442	NA	0.0015	0.0983	NA
013c9c13c8d7029019462bef0627adba	4.3319	3.091	2.0191	4.3319	3.091	0.2884	15.0183	10.7162	NA	0.0061	0.0136	NA	0.0108	0.0424	NA
015116cb2ae1efade79e1af688f3c15b	0.0524	5.7518	0.5544	0.0524	5.7518	0.0792	0.6621	72.6268	NA	0.4426	1e-04	NA	0.4819	0.0019	NA
01525c063123cb2134c64e84ad1e2118	6.5998	0.4614	1.4823	6.5998	0.4614	0.2118	31.167	2.1791	NA	8e-04	0.1834	NA	0.0033	0.2806	NA
0160f5a856b526939ba1062b1cc9df76	4.6969	0.39	1.7811	4.6969	0.39	0.2544	18.4597	1.5328	NA	0.0036	0.2556	NA	0.0074	0.3622	NA
017a60cbade7b309db182bcabe59d6a4	8.7303	2.7897	0.7316	8.7303	2.7897	0.1045	83.5362	26.6929	NA	0	0.0013	NA	0.0019	0.0088	NA
017d459400583fe36857c77a1d541f39	7.0785	0.0312	3.0859	7.0785	0.0312	0.4408	16.0566	0.0709	NA	0.0051	0.7978	NA	0.0095	0.8557	NA
018de0ee05bc68de9383baf688539f9f	3.9383	5.3968	1.7974	3.9383	5.3968	0.2568	15.3372	21.0175	NA	0.0058	0.0025	NA	0.0103	0.0133	NA
019ee757485f09fa0c7881843036a765	0.5482	0.7289	0.5079	0.5482	0.7289	0.0726	7.5557	10.0459	NA	0.0286	0.0157	NA	0.0391	0.0467	NA
01ac16555e036cea2ece2a239591aae6	5.054	2.4123	1.461	5.054	2.4123	0.2087	24.2153	11.5579	NA	0.0017	0.0114	NA	0.0047	0.0376	NA
01e013346904f75a91f713c559585ff7	1.4925	0.6156	0.5541	1.4925	0.6156	0.0792	18.8536	7.7761	NA	0.0034	0.027	NA	0.007	0.0683	NA
01e7154d4b5f3188595e288aeab7f7a0	1.6759	4.831	10.7975	1.6759	4.831	1.5425	1.0865	3.132	NA	0.3319	0.1201	NA	0.3703	0.208	NA
01e9bb0d97f8ed373a8d529ffb971acc	2.2017	1.3539	0.8036	2.2017	1.3539	0.1148	19.1795	11.7942	NA	0.0032	0.0109	NA	0.0068	0.0363	NA
01ea06c562e6b8f6bbc5be68d99c0373	0.4956	0.8245	0.1871	0.4956	0.8245	0.0267	18.5421	30.8462	NA	0.0035	9e-04	NA	0.0073	0.0067	NA
01feb696b69822d637cdf0956d28bad4	6.9524	11.3672	7.8605	6.9524	11.3672	1.1229	6.1913	10.1227	NA	0.0417	0.0155	NA	0.055	0.0461	NA
02104476719f02b32307edfdb1e6a0c4	3.6301	0.0741	0.9682	3.6301	0.0741	0.1383	26.2449	0.536	NA	0.0014	0.4879	NA	0.0042	0.5948	NA
02266378f920e88e1dac1ed916c48ff6	6.7587	0.4766	1.7114	6.7587	0.4766	0.2445	27.6447	1.9493	NA	0.0012	0.2053	NA	0.0039	0.3068	NA
022b87e073ba519506a6d0d9dac1bba1	0.1382	31.3811	8.2689	0.1382	31.3811	1.1813	0.117	26.5654	NA	0.7424	0.0013	NA	0.7664	0.0088	NA
02556710e6071f6303dfb662fc79f6b6	4.4618	2.6827	1.7336	4.4618	2.6827	0.2477	18.0161	10.8323	NA	0.0038	0.0133	NA	0.0076	0.0415	NA
026f6d9d6a5c591d5465aaeddf6222f1	7.1723	1.5686	2.2378	7.1723	1.5686	0.3197	22.4355	4.9067	NA	0.0021	0.0623	NA	0.0052	0.1272	NA
027ee5073ec17a7192c3036f2b817f18	1.6124	6.2316	1.5052	1.6124	6.2316	0.215	7.4986	28.9811	NA	0.029	0.001	NA	0.0396	0.0076	NA
02a63d174c8502c109303db99cf1e437	1.2549	2.1244	0.439	1.2549	2.1244	0.0627	20.0117	33.8764	NA	0.0029	6e-04	NA	0.0063	0.0057	NA
02adf979cb3500c39977fffbf7d2a048	2.5037	0.039	0.5514	2.5037	0.039	0.0788	31.7854	0.4949	NA	8e-04	0.5045	NA	0.0033	0.6097	NA
02c00510d4deae8d414f84d4af078919	0.114	0.0134	0.8866	0.114	0.0134	0.1267	0.9	0.1054	NA	0.3744	0.7549	NA	0.4143	0.8203	NA
02c19d40dee2d87c409a2e2f7b713d7f	5.0387	0.6421	0.9036	5.0387	0.6421	0.1291	39.0357	4.9742	NA	4e-04	0.0609	NA	0.0028	0.1249	NA
02ccf6f06e50ce9c5e49ffe2278c9f27	20.7391	1.3344	6.4351	20.7391	1.3344	0.9193	22.5597	1.4515	NA	0.0021	0.2674	NA	0.0052	0.3753	NA
02db2ad8ae83f16a31add624ea4ad90e	1.8025	4.504	1.2713	1.8025	4.504	0.1816	9.9251	24.8001	NA	0.0161	0.0016	NA	0.0239	0.0099	NA
02f7b0f943947c68160210ebf8af9e7d	2.4972	1.7131	0.3231	2.4972	1.7131	0.0462	54.1023	37.116	NA	2e-04	5e-04	NA	0.0024	0.0049	NA
02fdd4f04802f7d7700d7b017e231832	0.4327	0.7259	2.4574	0.4327	0.7259	0.3511	1.2325	2.0678	NA	0.3036	0.1936	NA	0.3412	0.2929	NA
03202b02066380ba1d7fadbf07ec658a	1.0679	0.5957	2.596	1.0679	0.5957	0.3709	2.8796	1.6062	NA	0.1335	0.2456	NA	0.1596	0.3514	NA
