treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00306dbb19665982fc78754ac92927bf	4.3781	12.1732	2.7858	4.3781	12.1732	0.3095	14.144	39.3272	NA	0.0045	1e-04	NA	0.0086	0.0014	NA
0051ee453ff489fa79b20379bcc79b6b	3.6923	2.1875	2.3344	3.6923	2.1875	0.2594	14.2353	8.4337	NA	0.0044	0.0175	NA	0.0085	0.0372	NA
00539cb2af8b7b06ee1279130fa2f307	9.8323	1.2007	2.1688	9.8323	1.2007	0.241	40.8013	4.9827	NA	1e-04	0.0525	NA	0.0011	0.0891	NA
006c80037cfc5a276d7d1b8ef20cdccd	8.4261	1.5444	11.1141	8.4261	1.5444	1.2349	6.8233	1.2506	NA	0.0282	0.2924	NA	0.04	0.371	NA
00823592d773ca77be3da202ae020b29	5.2397	2.9585	2.8312	5.2397	2.9585	0.3146	16.6562	9.4046	NA	0.0028	0.0134	NA	0.006	0.0304	NA
0092362bbf11972deda26d5b9e919f85	12.5336	2.4671	1.677	12.5336	2.4671	0.1863	67.2628	13.2398	NA	0	0.0054	NA	8e-04	0.0155	NA
0095b52bd61b59e97345c0564dc8496e	0.9547	5.3782	1.6918	0.9547	5.3782	0.188	5.0789	28.6108	NA	0.0507	5e-04	NA	0.0673	0.0029	NA
00a550b3fa43f178639afb2a02540b16	0.2356	1.6607	5.6982	0.2356	1.6607	0.6331	0.3721	2.623	NA	0.5569	0.1398	NA	0.5879	0.1998	NA
00bcc118d77be26d37aa6816c6eec493	9.1257	0.1518	0.6478	9.1257	0.1518	0.072	126.7802	2.1096	NA	0	0.1803	NA	3e-04	0.2474	NA
00cee8684ccbb62fce87c20103b8aed2	5.5176	18.4097	2.9734	5.5176	18.4097	0.3304	16.7006	55.7224	NA	0.0027	0	NA	0.0059	7e-04	NA
0112c347c6def14a99ba74cd77bfc94d	6.2045	0.9233	1.6993	6.2045	0.9233	0.1888	32.8606	4.8898	NA	3e-04	0.0543	NA	0.0015	0.0917	NA
011b116b1e264e2cde7ec36aa569ad7c	12.4803	2.3483	3.6655	12.4803	2.3483	0.4073	30.6435	5.7659	NA	4e-04	0.0398	NA	0.0016	0.071	NA
0127000197e26a049598b4a6d0225ba2	8.0718	0.1298	0.7502	8.0718	0.1298	0.0834	96.8333	1.5576	NA	0	0.2435	NA	5e-04	0.3172	NA
013c9c13c8d7029019462bef0627adba	5.2691	9.8172	3.8393	5.2691	9.8172	0.4266	12.3517	23.0134	NA	0.0066	0.001	NA	0.0117	0.0044	NA
015116cb2ae1efade79e1af688f3c15b	1.8397	0.0402	6.0726	1.8397	0.0402	0.6747	2.7266	0.0595	NA	0.1331	0.8127	NA	0.1597	0.8536	NA
0160f5a856b526939ba1062b1cc9df76	7.0753	1.3164	2.8773	7.0753	1.3164	0.3197	22.1314	4.1177	NA	0.0011	0.073	NA	0.0032	0.1169	NA
017a60cbade7b309db182bcabe59d6a4	20.4596	0	4.623	20.4596	0	0.5137	39.8309	0	NA	1e-04	0.9999	NA	0.0012	0.9999	NA
017d459400583fe36857c77a1d541f39	4.1485	4.7272	3.9706	4.1485	4.7272	0.4412	9.4032	10.7151	NA	0.0134	0.0096	NA	0.0212	0.0238	NA
018de0ee05bc68de9383baf688539f9f	8.3404	0.8524	1.8948	8.3404	0.8524	0.2105	39.6147	4.0484	NA	1e-04	0.0751	NA	0.0012	0.1198	NA
