treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
002aab5740aa6be49247450ebfe2e82c	3.4241	4.9095	4.9669	1.712	1.6365	0.2922	5.8597	5.6012	NA	0.0116	0.0074	NA	0.0164	0.0109	NA
002c8b16c60ae57f34435016c957fe69	76.1627	1.9472	32.3127	38.0813	0.6491	1.9007	20.0349	0.3415	NA	0	0.7956	NA	3e-04	0.8069	NA
003096becb056512a6852b6d97c81e70	204.1455	199.5499	86.9882	102.0728	66.5166	5.117	19.9479	12.9993	NA	0	1e-04	NA	3e-04	3e-04	NA
0053ef839671147b583abc1da338caa2	164.7249	30.9059	52.9884	82.3625	10.302	3.117	26.4239	3.3051	NA	0	0.0455	NA	2e-04	0.0567	NA
005a280b00d3ecf88ee311777cf5222e	0.2428	1.7574	3.6523	0.1214	0.5858	0.2148	0.565	2.7267	NA	0.5787	0.0764	NA	0.5972	0.0911	NA
005a669dcc950227443b1c6e9c6e8d8b	85.0461	79.3189	47.0105	42.5231	26.4396	2.7653	15.3772	9.5611	NA	2e-04	6e-04	NA	6e-04	0.0012	NA
005e3c863bc4d8614de17acaf3c95a2c	39.5918	129.3937	31.2244	19.7959	43.1312	1.8367	10.7778	23.4826	NA	9e-04	0	NA	0.002	0	NA
0084cda4bdf71b9f9a12554bffbf7c67	4.1059	12.533	8.0811	2.0529	4.1777	0.4754	4.3187	8.7885	NA	0.0304	0.001	NA	0.039	0.0018	NA
00a7492993e99c31e0ae624d3b3d151b	21.4883	198.8096	14.7943	10.7442	66.2699	0.8703	12.346	76.1502	NA	5e-04	0	NA	0.0012	0	NA
00e1fdb5474821f870fd6c48acac291c	1.9074	43.0021	6.1756	0.9537	14.334	0.3633	2.6253	39.458	NA	0.1015	0	NA	0.1165	0	NA
0120a2850c6c5d13db081628957cfdbd	19.5911	26.5082	32.5933	9.7955	8.8361	1.9173	5.1092	4.6087	NA	0.0183	0.0155	NA	0.0248	0.0212	NA
0138509a4a7bb4c8bbf80e2f2a2c403a	35.0779	243.6039	80.767	17.539	81.2013	4.751	3.6916	17.0914	NA	0.0466	0	NA	0.0572	1e-04	NA
0170558beaac4caa6407d21f1b1863a4	7.1327	4.5156	3.3133	3.5663	1.5052	0.1949	18.2985	7.723	NA	1e-04	0.0018	NA	3e-04	0.0031	NA
01896a313d0020c8b2b980d58a1a0267	12.0566	90.2395	6.696	6.0283	30.0798	0.3939	15.3048	76.3673	NA	2e-04	0	NA	6e-04	0	NA
019824552e3a676db7346d8a462c6d9c	26.2009	24.7731	8.3648	13.1004	8.2577	0.492	26.6244	16.7824	NA	0	0	NA	2e-04	1e-04	NA
0209584f794e64ff8cbb96bea8f1325c	61.3391	47.682	40.8543	30.6695	15.894	2.4032	12.762	6.6137	NA	4e-04	0.0037	NA	0.0011	0.0058	NA
0228318ee8fa9c5d265f6bc85d541024	6.2349	34.4502	9.403	3.1175	11.4834	0.5531	5.6362	20.7612	NA	0.0133	0	NA	0.0186	0	NA
02677ced35ad45c6a17b10f76f78b09a	7.2249	10.7717	4.0229	3.6125	3.5906	0.2366	15.2656	15.173	NA	2e-04	0	NA	6e-04	1e-04	NA
028ee642eb064920b3b1a73eace34e08	23.4456	37.8658	11.4063	11.7228	12.6219	0.671	17.4718	18.8119	NA	1e-04	0	NA	4e-04	0	NA
02bd86316727e7c5abcc64d7385868b5	12.9031	14.821	10.0537	6.4515	4.9403	0.5914	10.9091	8.3537	NA	9e-04	0.0012	NA	0.0019	0.0022	NA
02bf24f80d39db06b856a301d860ab19	11.4632	13.3028	5.8468	5.7316	4.4343	0.3439	16.6652	12.8931	NA	1e-04	1e-04	NA	4e-04	3e-04	NA
02cb5f2bfea2a37020777fd75fc88635	42.8918	38.6483	18.0114	21.4459	12.8828	1.0595	20.2417	12.1594	NA	0	2e-04	NA	3e-04	4e-04	NA
02d9bfbacf29e21709f9ea6227d42cb3	16.7852	2.9586	6.6996	8.3926	0.9862	0.3941	21.296	2.5024	NA	0	0.0941	NA	2e-04	0.1103	NA
037c1287b740ca30010808aa48bdfce3	37.3624	2.3433	18.6108	18.6812	0.7811	1.0948	17.0643	0.7135	NA	1e-04	0.5573	NA	4e-04	0.5775	NA
040ed2ecb0d3491b52973596fa95cba3	22.7079	3.5079	9.7955	11.3539	1.1693	0.5762	19.7046	2.0293	NA	0	0.1479	NA	3e-04	0.1674	NA
0411ac2d97adabe3fc25319405b1189e	1.8055	5.9519	4.5318	0.9028	1.984	0.2666	3.3865	7.4424	NA	0.0578	0.0022	NA	0.0696	0.0036	NA
0416cad93e1297447e4c699ddd42b0c5	9.625	31.3423	6.7602	4.8125	10.4474	0.3977	12.102	26.2722	NA	5e-04	0	NA	0.0013	0	NA
0430f86decdd0bd5c0a936c6d744c285	15.98	180.6433	28.9495	7.99	60.2144	1.7029	4.692	35.3597	NA	0.0238	0	NA	0.0313	0	NA
0442357c053901d07a24f83ca900a610	35.349	6.3181	38.3034	17.6745	2.106	2.2531	7.8444	0.9347	NA	0.0039	0.4455	NA	0.0063	0.4682	NA
044e2b43b0cbfe1fd830937719e114e5	24.9358	6.3009	42.7632	12.4679	2.1003	2.5155	4.9565	0.8349	NA	0.0201	0.4931	NA	0.0269	0.5147	NA
045b0e11126b6d2e5d18dd483b814a1a	47.537	37.7912	25.5606	23.7685	12.5971	1.5036	15.8081	8.3781	NA	1e-04	0.0012	NA	5e-04	0.0022	NA
049198db23cfbd348c88feacea39f911	5.0905	24.8259	26.3298	2.5453	8.2753	1.5488	1.6434	5.343	NA	0.2226	0.0089	NA	0.2411	0.0129	NA
04b43c4dc222ed588f7ce3bc282486fc	11.9938	174.1795	79.2855	5.9969	58.0598	4.6639	1.2858	12.4489	NA	0.302	1e-04	NA	0.3209	3e-04	NA
04f3d3fdb938002fc1ae3168a29210dd	7.5859	19.3538	4.6073	3.793	6.4513	0.271	13.9953	23.8039	NA	3e-04	0	NA	8e-04	0	NA
05125836f2d61271016ae0802d7bd9a3	24.9177	25.8914	17.6878	12.4589	8.6305	1.0405	11.9744	8.2949	NA	6e-04	0.0013	NA	0.0013	0.0023	NA
0516dfda2186bdd19f07278e681f4146	32.0827	25.8405	19.1908	16.0414	8.6135	1.1289	14.2101	7.6302	NA	2e-04	0.0019	NA	7e-04	0.0033	NA
0540f377b232c6adfc02907921e2cc31	8.095	37.2203	9.7598	4.0475	12.4068	0.5741	7.0501	21.6106	NA	0.0059	0	NA	0.0091	0	NA
054ceec3127e1f5bca0aabeff1c3af4b	18.9281	39.0869	21.2801	9.4641	13.029	1.2518	7.5606	10.4084	NA	0.0045	4e-04	NA	0.0072	8e-04	NA
05a90bcc3454a13641d4448a893573a0	9.2724	13.201	6.487	4.6362	4.4003	0.3816	12.1497	11.5316	NA	5e-04	2e-04	NA	0.0013	5e-04	NA
05c42291f78d276f588198977f28d709	7.5983	1.4695	7.7187	3.7992	0.4898	0.454	8.3674	1.0788	NA	0.003	0.3845	NA	0.005	0.4086	NA
05e0956be94316a390d48a0b7180c51d	0.1585	5.6455	2.6987	0.0793	1.8818	0.1587	0.4993	11.8544	NA	0.6156	2e-04	NA	0.6328	4e-04	NA
06337cc772e982db771f13e10899e176	12.0425	80.5955	3.8938	6.0212	26.8652	0.229	26.2884	117.2919	NA	0	0	NA	2e-04	0	NA
063f36c3100d763046ee74ca4f412f86	72.84	327.5355	67.4203	36.42	109.1785	3.9659	9.1833	27.5293	NA	0.002	0	NA	0.0036	0	NA
064013fefe6d49c19ae2d9606a1afd74	51.7179	55.1185	31.6304	25.8589	18.3728	1.8606	13.8981	9.8746	NA	3e-04	5e-04	NA	8e-04	0.001	NA
0645343bac152d194b084f45b0103b51	33.877	31.4889	19.8808	16.9385	10.4963	1.1695	14.4841	8.9754	NA	2e-04	9e-04	NA	7e-04	0.0016	NA
