treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00089b46831e8ef8664d2a632b8145c5	7.2422	36.0955	12.5596	7.2422	3.6096	0.2563	28.2549	14.0823	NA	0	0	NA	0	0	NA
0036d59b9c2c58b22fd5945b4aa3f348	66.4908	8.8087	10.1877	66.4908	0.8809	0.2079	319.8034	4.2367	NA	0	3e-04	NA	0	3e-04	NA
008277a5fd42cb04f88c34a26df200ce	11.0818	7.4755	8.329	11.0818	0.7475	0.17	65.1949	4.3979	NA	0	2e-04	NA	0	2e-04	NA
00b05a391e262ebf75433a5901c94f69	48.5989	12.2865	8.3908	48.5989	1.2287	0.1712	283.8034	7.175	NA	0	0	NA	0	0	NA
0104f91f1cc33e553be3bfc68a517ce7	46.3604	8.6854	7.3859	46.3604	0.8685	0.1507	307.5683	5.7622	NA	0	0	NA	0	0	NA
010f0a7d84a28949c78be5930457dabc	2.0936	7.1008	6.2784	2.0936	0.7101	0.1281	16.3398	5.5418	NA	2e-04	0	NA	2e-04	0	NA
018166381b3825f4433929cd661c73b1	0	18.2493	8.8688	0	1.8249	0.181	0	10.0827	NA	0.9986	0	NA	0.9986	0	NA
01ba5a538d3091e6f291367ab4c114de	0.5366	28.4763	35.408	0.5366	2.8476	0.7226	0.7425	3.9407	NA	0.393	6e-04	NA	0.409	6e-04	NA
033d19faa0ce86082c0215df5bffbdb5	21.2743	13.4364	10.4206	21.2743	1.3436	0.2127	100.0366	6.3181	NA	0	0	NA	0	0	NA
03522a86e8b54bd9508023e65e04dfd1	48.8428	18.9063	17.0277	48.8428	1.8906	0.3475	140.5529	5.4406	NA	0	0	NA	0	0	NA
03576e58e1c6ff8ce50c0fadbbf4860b	0.3255	48.9916	25.1087	0.3255	4.8992	0.5124	0.6351	9.5608	NA	0.4293	0	NA	0.4448	0	NA
035ad00cb4268363afb29c9db102e959	12.8637	14.3852	8.672	12.8637	1.4385	0.177	72.6846	8.1282	NA	0	0	NA	0	0	NA
0362c5f6815777388ea02ff51947c85e	56.3036	23.1932	9.7658	56.3036	2.3193	0.1993	282.5052	11.6372	NA	0	0	NA	0	0	NA
036fd95372a59cb54c18db11e833a6e5	0.3038	46.5006	26.185	0.3038	4.6501	0.5344	0.5684	8.7016	NA	0.4545	0	NA	0.4696	0	NA
03c3804b27717d58097d438f97396ac2	4.3987	28.0298	25.6566	4.3987	2.803	0.5236	8.4008	5.3532	NA	0.0056	0	NA	0.0063	0	NA
040d33a988e7004112ecdeb4e029b32f	13.2853	25.485	8.3492	13.2853	2.5485	0.1704	77.9692	14.9568	NA	0	0	NA	0	0	NA
041ea541f1c4f5b3ffdc193464a3c139	52.981	9.9097	9.1209	52.981	0.991	0.1861	284.6272	5.3238	NA	0	0	NA	0	0	NA
043aab733df943204ad5f00be077291c	29.8274	44.1132	8.9746	29.8274	4.4113	0.1832	162.8538	24.0853	NA	0	0	NA	0	0	NA
0468f59da37cad8e1d8dc328ddff8811	19.4587	12.4363	6.9723	19.4587	1.2436	0.1423	136.7529	8.74	NA	0	0	NA	0	0	NA
04c4e57c46ca8bf11cdf9eb198513e84	16.8084	29.1786	24.7032	16.8084	2.9179	0.5041	33.3402	5.7877	NA	0	0	NA	0	0	NA
0518fb4aa3e6bc13f085feb43a8bbe7e	6.9251	36.548	9.5829	6.9251	3.6548	0.1956	35.4097	18.6879	NA	0	0	NA	0	0	NA
055582bf87abfc587b152016a37adea2	94.5156	78.7947	24.6973	94.5156	7.8795	0.504	187.5213	15.6331	NA	0	0	NA	0	0	NA
0586aaf9e2db94ce68674fcfc109de01	11.0394	56.6228	14.6683	11.0394	5.6623	0.2994	36.8776	18.9151	NA	0	0	NA	0	0	NA
05871147ff12b16b162fac81396e211a	4.5665	49.1714	20.0581	4.5665	4.9171	0.4093	11.1556	12.0121	NA	0.0016	0	NA	0.0019	0	NA
059f46cc760a6f4330ae67c7a1edffe4	20.3696	7.7098	5.4613	20.3696	0.771	0.1115	182.7593	6.9174	NA	0	0	NA	0	0	NA
05b0dee66b0a70f529ddb70ec3be9155	76.6274	18.0303	14.8952	76.6274	1.803	0.304	252.0771	5.9313	NA	0	0	NA	0	0	NA
05db447f5d09ea1e6ea1697bc67c868d	33.1657	18.5076	5.6335	33.1657	1.8508	0.115	288.4752	16.0979	NA	0	0	NA	0	0	NA
05dfade82ae64d4b1a7791a874417099	4.8027	118.3489	9.4489	4.8027	11.8349	0.1928	24.906	61.3733	NA	0	0	NA	0	0	NA
0601ba88d2b9420350741fd55855a7c4	5.3209	16.5163	10.523	5.3209	1.6516	0.2148	24.7764	7.6907	NA	0	0	NA	0	0	NA
071118f14eab5b3ab5d917fb0653a477	8.1667	29.4274	30.4579	8.1667	2.9427	0.6216	13.1384	4.7342	NA	7e-04	1e-04	NA	8e-04	1e-04	NA
07555ed9a6e1195b603bd64e380a8372	11.353	20.356	4.6122	11.353	2.0356	0.0941	120.613	21.626	NA	0	0	NA	0	0	NA
078004302d4d901ea5ad798557260404	17.9861	20.812	12.0218	17.9861	2.0812	0.2453	73.3102	8.4828	NA	0	0	NA	0	0	NA
0834282a8c71d24b5e1bd78112773c27	3.9003	17.701	9.1473	3.9003	1.7701	0.1867	20.8932	9.482	NA	0	0	NA	0	0	NA
084730dabba66e5c714a6766e89be25d	41.2501	5.8894	5.2691	41.2501	0.5889	0.1075	383.6082	5.4769	NA	0	0	NA	0	0	NA
0877836a10cd97170a3abbd52aa48591	17.8584	65.9862	17.9817	17.8584	6.5986	0.367	48.664	17.9812	NA	0	0	NA	0	0	NA
