treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
00089b46831e8ef8664d2a632b8145c5	7.7235	36.2306	14.7437	7.7235	3.2937	0.273	28.288	12.0634	NA	0	0	NA	0	0	NA
0036d59b9c2c58b22fd5945b4aa3f348	70.508	9.3766	13.8146	70.508	0.8524	0.2558	275.6101	3.332	NA	0	0.0015	NA	0	0.0016	NA
008277a5fd42cb04f88c34a26df200ce	12.8163	7.6192	8.6824	12.8163	0.6927	0.1608	79.7107	4.308	NA	0	1e-04	NA	0	1e-04	NA
00b05a391e262ebf75433a5901c94f69	52.0247	14.6204	10.2284	52.0247	1.3291	0.1894	274.6592	7.017	NA	0	0	NA	0	0	NA
0104f91f1cc33e553be3bfc68a517ce7	48.1745	11.2597	9.1612	48.1745	1.0236	0.1697	283.9621	6.0336	NA	0	0	NA	0	0	NA
010f0a7d84a28949c78be5930457dabc	1.6477	15.0491	6.9794	1.6477	1.3681	0.1292	12.7484	10.5851	NA	8e-04	0	NA	9e-04	0	NA
018166381b3825f4433929cd661c73b1	0.0301	18.2958	9.8769	0.0301	1.6633	0.1829	0.1644	9.0936	NA	0.6867	0	NA	0.7027	0	NA
01ba5a538d3091e6f291367ab4c114de	0.104	28.5338	37.6045	0.104	2.594	0.6964	0.1493	3.7249	NA	0.7007	6e-04	NA	0.7157	6e-04	NA
033d19faa0ce86082c0215df5bffbdb5	21.3907	14.8538	11.0867	21.3907	1.3503	0.2053	104.1872	6.5771	NA	0	0	NA	0	0	NA
03522a86e8b54bd9508023e65e04dfd1	55.7854	21.8327	18.8857	55.7854	1.9848	0.3497	159.5073	5.6751	NA	0	0	NA	0	0	NA
03576e58e1c6ff8ce50c0fadbbf4860b	0.3713	51.2171	25.1796	0.3713	4.6561	0.4663	0.7963	9.9854	NA	0.3762	0	NA	0.3926	0	NA
035ad00cb4268363afb29c9db102e959	13.2442	16.0383	9.4035	13.2442	1.458	0.1741	76.0554	8.3728	NA	0	0	NA	0	0	NA
0362c5f6815777388ea02ff51947c85e	59.7861	23.5345	13.0964	59.7861	2.1395	0.2425	246.5134	8.8217	NA	0	0	NA	0	0	NA
036fd95372a59cb54c18db11e833a6e5	0.2005	51.4846	28.3527	0.2005	4.6804	0.5251	0.3819	8.9142	NA	0.5392	0	NA	0.5547	0	NA
03c3804b27717d58097d438f97396ac2	4.8139	28.0522	25.9388	4.8139	2.5502	0.4803	10.0217	5.3091	NA	0.0025	0	NA	0.0029	0	NA
040d33a988e7004112ecdeb4e029b32f	13.4325	26.9205	9.1302	13.4325	2.4473	0.1691	79.4459	14.4745	NA	0	0	NA	0	0	NA
041ea541f1c4f5b3ffdc193464a3c139	52.5756	27.5189	10.9398	52.5756	2.5017	0.2026	259.5195	12.3488	NA	0	0	NA	0	0	NA
043aab733df943204ad5f00be077291c	31.1412	47.3092	10.3054	31.1412	4.3008	0.1908	163.1793	22.5363	NA	0	0	NA	0	0	NA
0468f59da37cad8e1d8dc328ddff8811	20.2864	15.4165	8.5526	20.2864	1.4015	0.1584	128.0847	8.8489	NA	0	0	NA	0	0	NA
04c4e57c46ca8bf11cdf9eb198513e84	15.5481	33.3924	26.3076	15.5481	3.0357	0.4872	31.9147	6.2311	NA	0	0	NA	0	0	NA
0518fb4aa3e6bc13f085feb43a8bbe7e	7.1853	38.5649	10.1959	7.1853	3.5059	0.1888	38.0553	18.5682	NA	0	0	NA	0	0	NA
055582bf87abfc587b152016a37adea2	108.5894	81.034	31.9795	108.5894	7.3667	0.5922	183.3621	12.4393	NA	0	0	NA	0	0	NA
0586aaf9e2db94ce68674fcfc109de01	11.3226	63.3953	14.8481	11.3226	5.7632	0.275	41.1784	20.9599	NA	0	0	NA	0	0	NA
05871147ff12b16b162fac81396e211a	6.0514	49.2856	21.3212	6.0514	4.4805	0.3948	15.3264	11.3477	NA	3e-04	0	NA	3e-04	0	NA
059f46cc760a6f4330ae67c7a1edffe4	20.9622	7.7077	6.5965	20.9622	0.7007	0.1222	171.6007	5.7361	NA	0	0	NA	0	0	NA
05b0dee66b0a70f529ddb70ec3be9155	83.6614	18.5241	18.7843	83.6614	1.684	0.3479	240.5046	4.8411	NA	0	0	NA	0	0	NA
05db447f5d09ea1e6ea1697bc67c868d	35.0086	19.5213	7.6229	35.0086	1.7747	0.1412	247.9976	12.5715	NA	0	0	NA	0	0	NA
05dfade82ae64d4b1a7791a874417099	4.3367	122.4681	10.217	4.3367	11.1335	0.1892	22.9206	58.8438	NA	0	0	NA	0	0	NA
0601ba88d2b9420350741fd55855a7c4	4.6351	16.8315	11.5012	4.6351	1.5301	0.213	21.7623	7.1842	NA	0	0	NA	0	0	NA
071118f14eab5b3ab5d917fb0653a477	7.5962	30.3864	31.1235	7.5962	2.7624	0.5764	13.1795	4.7928	NA	6e-04	0	NA	7e-04	0	NA
07555ed9a6e1195b603bd64e380a8372	13.2749	21.9072	6.2533	13.2749	1.9916	0.1158	114.6345	17.198	NA	0	0	NA	0	0	NA
078004302d4d901ea5ad798557260404	18.1451	22.1516	13.0222	18.1451	2.0138	0.2412	75.2437	8.3507	NA	0	0	NA	0	0	NA
0834282a8c71d24b5e1bd78112773c27	5.9784	23.2874	11.6142	5.9784	2.117	0.2151	27.7964	9.8431	NA	0	0	NA	0	0	NA
084730dabba66e5c714a6766e89be25d	43.2248	11.2344	7.52	43.2248	1.0213	0.1393	310.3922	7.3339	NA	0	0	NA	0	0	NA
0877836a10cd97170a3abbd52aa48591	15.9897	81.1424	23.734	15.9897	7.3766	0.4395	36.38	16.7833	NA	0	0	NA	0	0	NA
