treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
002c8b16c60ae57f34435016c957fe69	14.8115	45.4281	192.0036	14.8115	4.5428	3.6227	4.0885	1.254	NA	0.0482	0.2801	NA	0.1303	0.6103	NA
003096becb056512a6852b6d97c81e70	590441.4465	505289.1143	3328475.7053	590441.4465	50528.9114	62801.4284	9.4017	0.8046	NA	0.0034	0.625	NA	0.0176	0.7584	NA
005a280b00d3ecf88ee311777cf5222e	0.0146	1.8422	5.7327	0.0146	0.1842	0.1082	0.1353	1.7031	NA	0.7144	0.1044	NA	0.815	0.4472	NA
005a669dcc950227443b1c6e9c6e8d8b	25.4765	59.0654	250.5888	25.4765	5.9065	4.7281	5.3883	1.2492	NA	0.0241	0.2828	NA	0.075	0.6103	NA
00e1fdb5474821f870fd6c48acac291c	0.0028	18.4918	62.9545	0.0028	1.8492	1.1878	0.0024	1.5568	NA	0.9613	0.1458	NA	0.9821	0.4952	NA
0120a2850c6c5d13db081628957cfdbd	2.4151	5.7614	18.789	2.4151	0.5761	0.3545	6.8125	1.6252	NA	0.0117	0.1249	NA	0.0443	0.4741	NA
01896a313d0020c8b2b980d58a1a0267	0.3832	3.0824	15.8052	0.3832	0.3082	0.2982	1.2851	1.0336	NA	0.2621	0.4289	NA	0.4297	0.688	NA
019824552e3a676db7346d8a462c6d9c	8292.8843	23461.2775	139807.6443	8292.8843	2346.1278	2637.8801	3.1438	0.8894	NA	0.082	0.5489	NA	0.19	0.7395	NA
0209584f794e64ff8cbb96bea8f1325c	9.2856	34.731	283.0273	9.2856	3.4731	5.3401	1.7388	0.6504	NA	0.193	0.764	NA	0.3483	0.8365	NA
02677ced35ad45c6a17b10f76f78b09a	1.5018	0.2468	2.8561	1.5018	0.0247	0.0539	27.8688	0.458	NA	0	0.9093	NA	1e-04	0.934	NA
028ee642eb064920b3b1a73eace34e08	17.4163	25.1542	153.3072	17.4163	2.5154	2.8926	6.021	0.8696	NA	0.0175	0.5664	NA	0.0597	0.7456	NA
02cb5f2bfea2a37020777fd75fc88635	15.6767	9.3625	49.5859	15.6767	0.9362	0.9356	16.7561	1.0007	NA	1e-04	0.455	NA	0.0014	0.703	NA
037c1287b740ca30010808aa48bdfce3	9.6139	4153.5519	25595.6295	9.6139	415.3552	482.9364	0.0199	0.8601	NA	0.8883	0.5749	NA	0.9375	0.7493	NA
040ed2ecb0d3491b52973596fa95cba3	4.7743	32.3051	78.6264	4.7743	3.2305	1.4835	3.2182	2.1776	NA	0.0785	0.0337	NA	0.1843	0.3187	NA
0411ac2d97adabe3fc25319405b1189e	1.3504	8.1311	53.2117	1.3504	0.8131	1.004	1.345	0.8099	NA	0.2513	0.6202	NA	0.4194	0.7584	NA
0416cad93e1297447e4c699ddd42b0c5	1.0174	2.5936	16.1035	1.0174	0.2594	0.3038	3.3486	0.8536	NA	0.0729	0.5807	NA	0.1743	0.7493	NA
044e2b43b0cbfe1fd830937719e114e5	15.4532	264.0632	1101.974	15.4532	26.4063	20.792	0.7432	1.27	NA	0.3925	0.271	NA	0.5503	0.6038	NA
04b43c4dc222ed588f7ce3bc282486fc	25.138	113.7032	717.4501	25.138	11.3703	13.5368	1.857	0.84	NA	0.1787	0.593	NA	0.3311	0.7545	NA
05125836f2d61271016ae0802d7bd9a3	12.1414	42.6141	334.7547	12.1414	4.2614	6.3161	1.9223	0.6747	NA	0.1714	0.7426	NA	0.3221	0.8225	NA
063f36c3100d763046ee74ca4f412f86	49.5538	75.0124	398.9967	49.5538	7.5012	7.5282	6.5824	0.9964	NA	0.0132	0.4584	NA	0.0487	0.703	NA
064afb2e2575e5d6e5cecf7ab3b577e9	8.1825	920.7127	4210.3352	8.1825	92.0713	79.4403	0.103	1.159	NA	0.7495	0.3387	NA	0.8424	0.6436	NA
