treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
002c8b16c60ae57f34435016c957fe69	57.5425	76.9223	49.065	28.7712	15.3845	1.1967	24.042	12.8557	NA	0	0	NA	0	0	NA
003096becb056512a6852b6d97c81e70	339.6203	810.2903	352.056	169.8102	162.0581	8.5867	19.7759	18.8731	NA	0	0	NA	0	0	NA
0053ef839671147b583abc1da338caa2	135.2191	99.8214	83.0583	67.6096	19.9643	2.0258	33.3741	9.855	NA	0	0	NA	0	0	NA
005a280b00d3ecf88ee311777cf5222e	0.3734	33.5387	8.8992	0.1867	6.7077	0.2171	0.8602	30.9037	NA	0.4306	0	NA	0.4429	0	NA
005a669dcc950227443b1c6e9c6e8d8b	163.2117	48.4403	95.6385	81.6059	9.6881	2.3326	34.9842	4.1532	NA	0	0.0038	NA	0	0.0041	NA
009abe199ed67a7996cc43e8b23c3036	50.5701	14.7035	80.6872	25.285	2.9407	1.968	12.8482	1.4943	NA	0	0.2128	NA	1e-04	0.2154	NA
00a7492993e99c31e0ae624d3b3d151b	22.6953	150.4366	18.0933	11.3477	30.0873	0.4413	25.7141	68.1787	NA	0	0	NA	0	0	NA
00e1fdb5474821f870fd6c48acac291c	3.3871	83.934	16.182	1.6936	16.7868	0.3947	4.2909	42.5323	NA	0.0203	0	NA	0.0235	0	NA
0120a2850c6c5d13db081628957cfdbd	7.5774	59.1536	40.1496	3.7887	11.8307	0.9793	3.8689	12.0813	NA	0.0289	0	NA	0.033	0	NA
01896a313d0020c8b2b980d58a1a0267	5.6285	35.0178	9.0389	2.8142	7.0036	0.2205	12.7652	31.7678	NA	0	0	NA	1e-04	0	NA
019824552e3a676db7346d8a462c6d9c	49.4237	107.5653	37.7006	24.7118	21.5131	0.9195	26.8745	23.3958	NA	0	0	NA	0	0	NA
0209584f794e64ff8cbb96bea8f1325c	37.3073	163.3968	56.2153	18.6537	32.6794	1.3711	13.6049	23.8343	NA	0	0	NA	0	0	NA
0228318ee8fa9c5d265f6bc85d541024	3.5905	84.8889	17.1426	1.7953	16.9778	0.4181	4.2937	40.6057	NA	0.0203	0	NA	0.0235	0	NA
02677ced35ad45c6a17b10f76f78b09a	8.6763	9.5557	9.8072	4.3382	1.9111	0.2392	18.1361	7.9897	NA	0	0	NA	0	0	NA
027cd89559e091f3bc647af9e455da01	8.2783	46.7044	11.4921	4.1392	9.3409	0.2803	14.7672	33.3253	NA	0	0	NA	0	0	NA
028ee642eb064920b3b1a73eace34e08	68.5811	224.4328	48.2792	34.2906	44.8866	1.1775	29.1205	38.1189	NA	0	0	NA	0	0	NA
02cb5f2bfea2a37020777fd75fc88635	50.4891	113.2741	31.3518	25.2445	22.6548	0.7647	33.0133	29.6266	NA	0	0	NA	0	0	NA
02d9bfbacf29e21709f9ea6227d42cb3	21.371	3.7317	13.7608	10.6855	0.7463	0.3356	31.8372	2.2237	NA	0	0.0701	NA	0	0.0719	NA
037c1287b740ca30010808aa48bdfce3	63.1267	148.707	40.7378	31.5633	29.7414	0.9936	31.7665	29.9328	NA	0	0	NA	0	0	NA
040ed2ecb0d3491b52973596fa95cba3	62.9091	22.6187	30.3356	31.4546	4.5237	0.7399	42.5124	6.1141	NA	0	3e-04	NA	0	3e-04	NA
0411ac2d97adabe3fc25319405b1189e	6.8608	3.6944	10.6423	3.4304	0.7389	0.2596	13.2159	2.8466	NA	0	0.0269	NA	1e-04	0.028	NA
0416cad93e1297447e4c699ddd42b0c5	2.8855	87.2241	13.2316	1.4427	17.4448	0.3227	4.4705	54.0554	NA	0.0175	0	NA	0.0204	0	NA
0430f86decdd0bd5c0a936c6d744c285	0.1232	344.3765	67.3109	0.0616	68.8753	1.6417	0.0375	41.9529	NA	0.9632	0	NA	0.9654	0	NA
0442357c053901d07a24f83ca900a610	119.8559	69.5894	78.6179	59.9279	13.9179	1.9175	31.253	7.2583	NA	0	1e-04	NA	0	1e-04	NA
044e2b43b0cbfe1fd830937719e114e5	62.5254	204.5243	71.6549	31.2627	40.9049	1.7477	17.8881	23.4052	NA	0	0	NA	0	0	NA
045b0e11126b6d2e5d18dd483b814a1a	153.7135	153.434	201.5077	76.8567	30.6868	4.9148	15.6377	6.2437	NA	0	2e-04	NA	0	2e-04	NA
04b43c4dc222ed588f7ce3bc282486fc	19.6872	504.2425	117.9306	9.8436	100.8485	2.8764	3.4222	35.0612	NA	0.0422	0	NA	0.0474	0	NA
05125836f2d61271016ae0802d7bd9a3	41.7745	203.4813	40.6108	20.8873	40.6963	0.9905	21.0875	41.0863	NA	0	0	NA	0	0	NA
06337cc772e982db771f13e10899e176	7.8982	113.5814	15.3245	3.9491	22.7163	0.3738	10.5656	60.7763	NA	2e-04	0	NA	3e-04	0	NA
0639c17a34141054ff0be430e90ca5f8	132.3055	24.9975	63.8404	66.1527	4.9995	1.5571	42.4851	3.2108	NA	0	0.0155	NA	0	0.0162	NA
063f36c3100d763046ee74ca4f412f86	115.3929	413.7441	101.169	57.6964	82.7488	2.4675	23.3822	33.535	NA	0	0	NA	0	0	NA
0645343bac152d194b084f45b0103b51	128.9413	133.2794	130.0801	64.4707	26.6559	3.1727	20.3205	8.4017	NA	0	0	NA	0	0	NA
064afb2e2575e5d6e5cecf7ab3b577e9	54.2849	325.0714	81.1288	27.1425	65.0143	1.9788	13.717	32.8562	NA	0	0	NA	0	0	NA
0651b5efdaf443357668abedb695b40b	6.2738	38.6665	7.0175	3.1369	7.7333	0.1712	18.3274	45.1823	NA	0	0	NA	0	0	NA
0695f61194a9c8d2da887f6b7213aa4a	3.701	18.4166	8.7842	1.8505	3.6833	0.2142	8.6371	17.1918	NA	7e-04	0	NA	0.001	0	NA
06b7892295e942dc077eda2d7e4e86fa	46.7343	336.6158	110.892	23.3672	67.3232	2.7047	8.6395	24.8913	NA	7e-04	0	NA	0.001	0	NA
06c3d7a612ed19363bb3ab44dfeedef3	115.1167	54.6681	93.1991	57.5583	10.9336	2.2731	25.321	4.8099	NA	0	0.0015	NA	0	0.0016	NA
06e624f5e2fea0d9214e4299e4cc276c	53.4751	259.8911	38.2511	26.7375	51.9782	0.933	28.659	55.7135	NA	0	0	NA	0	0	NA
06f2fff6329a0cf37f63af7b10e0c5a0	19.0854	170.9638	75.0548	9.5427	34.1928	1.8306	5.2129	18.6784	NA	0.0096	0	NA	0.0115	0	NA
06f8a3a147fca20397796827449cea8d	0.4171	8.9674	8.8972	0.2085	1.7935	0.217	0.9609	8.2647	NA	0.391	0	NA	0.4031	0	NA
06ff7c2ce02faf9aad837f4bffc76d39	24.7463	49.8005	19.618	12.3731	9.9601	0.4785	25.8588	20.8157	NA	0	0	NA	0	0	NA
075277fb1e933a4484ac35afccc27a49	22.5681	64.8461	20.6065	11.2841	12.9692	0.5026	22.4515	25.8044	NA	0	0	NA	0	0	NA
07b2fc14dc49550b699c98f003e5b75a	6.6748	5.9241	8.4725	3.3374	1.1848	0.2066	16.1503	5.7336	NA	0	4e-04	NA	0	5e-04	NA
07bb59ea50eb069d1a242711a3fd8043	24.765	148.6211	29.5172	12.3825	29.7242	0.7199	17.1996	41.2875	NA	0	0	NA	0	0	NA
0872b27a9c01fb424b61c20e3c48b5c7	23.439	91.5756	24.0542	11.7195	18.3151	0.5867	19.9757	31.2178	NA	0	0	NA	0	0	NA
08c3e6fdf90609611c6bdcf879b5c2b8	6.624	29.9871	22.1624	3.312	5.9974	0.5405	6.1272	11.0951	NA	0.0047	0	NA	0.0058	0	NA
0903ddd060028e7bd985a8bd183db8a1	17.3561	53.6731	26.3357	8.6781	10.7346	0.6423	13.5102	16.7119	NA	0	0	NA	0	0	NA
09249dff1373b6b3dc316e74f57262e2	66.2336	46.6764	48.1366	33.1168	9.3353	1.1741	28.207	7.9513	NA	0	0	NA	0	0	NA
093a9fa3086ca3500685586765d4b48e	1.4761	10.5055	8.8288	0.738	2.1011	0.2153	3.4273	9.7573	NA	0.042	0	NA	0.0473	0	NA
093ab1e64516072cd1877dfdcc3931bf	172.3979	177.1567	209.7554	86.199	35.4313	5.116	16.8489	6.9256	NA	0	1e-04	NA	0	1e-04	NA
093e03d655e4bd8771d86a10fc751771	41.9514	220.4248	60.1362	20.9757	44.085	1.4667	14.3009	30.0565	NA	0	0	NA	0	0	NA
09ce8d99f6080b469fc19fc13bf68be0	69.5801	36.1488	65.657	34.79	7.2298	1.6014	21.7249	4.5147	NA	0	0.0023	NA	0	0.0025	NA
09f899b52669a1cdbc786b71e1a6d2f5	549.0244	109.7657	276.102	274.5122	21.9531	6.7342	40.7639	3.2599	NA	0	0.0144	NA	0	0.0151	NA
0a71582bc787fa8388f14f3294d258c8	40.8276	104.7295	105.467	20.4138	20.9459	2.5724	7.9358	8.1427	NA	0.0012	0	NA	0.0016	0	NA
0a73ed77074d9336cbee0a2b6d87e758	98.3919	57.7543	86.9864	49.196	11.5509	2.1216	23.1879	5.4444	NA	0	6e-04	NA	0	7e-04	NA
0ac5ed6dd64340fe6184c7a8f106e7d0	12.5025	509.4409	53.1451	6.2512	101.8882	1.2962	4.8227	78.604	NA	0.0132	0	NA	0.0155	0	NA
0ad5eb4e69cd26210a838fd6a3908d37	16.2062	312.0094	69.071	8.1031	62.4019	1.6847	4.8099	37.0413	NA	0.0133	0	NA	0.0157	0	NA
0ad86a0b60887b2ba66fd6686ae727aa	5.4043	128.3931	16.329	2.7022	25.6786	0.3983	6.7848	64.4757	NA	0.0028	0	NA	0.0036	0	NA
0af2b38e0dd31f383e09bcf39e91d4ea	154.1003	242.3199	142.8164	77.0501	48.464	3.4833	22.1197	13.9131	NA	0	0	NA	0	0	NA
0af9a3fe7402c24c86f8639616f5d924	23.3291	37.9953	17.1081	11.6645	7.5991	0.4173	27.9543	18.2113	NA	0	0	NA	0	0	NA
0b2277f3dafe651ef967f33845b20f96	22.3012	227.4843	57.5307	11.1506	45.4969	1.4032	7.9466	32.4239	NA	0.0012	0	NA	0.0016	0	NA
0b3359dfa104113adf6b0e2b16fbe391	6.9335	15.1271	10.0168	3.4667	3.0254	0.2443	14.1897	12.3834	NA	0	0	NA	0	0	NA
0b6181247ae0d198ad509f1bd306d6a1	400.5796	93.0084	173.4757	200.2898	18.6017	4.2311	47.3373	4.3964	NA	0	0.0027	NA	0	0.0029	NA
0b74f64f8dfbf6ceac028eb32f7aa171	10.9104	137.2835	18.7539	5.4552	27.4567	0.4574	11.9263	60.0263	NA	1e-04	0	NA	1e-04	0	NA
0b78a0e46ac41dba588a99a8d9c84a05	7.2524	320.6024	68.7986	3.6262	64.1205	1.678	2.161	38.2121	NA	0.1282	0	NA	0.1382	0	NA
0ba8e0e31ebe45b2d73abbd97b939804	41.3842	314.5327	50.354	20.6921	62.9065	1.2281	16.8482	51.2207	NA	0	0	NA	0	0	NA
0baccb4685c62b82d5f69dd5aa3adc76	47.5572	237.2286	48.8697	23.7786	47.4457	1.1919	19.9494	39.8054	NA	0	0	NA	0	0	NA
0bad3dfb97915cf1e2810d087058253b	41.6543	61.5132	33.7039	20.8271	12.3026	0.822	25.3358	14.9659	NA	0	0	NA	0	0	NA
0bbc8c7a8c3b0d8e1b3114bcce065e9d	1.2258	17.4673	18.9907	0.6129	3.4935	0.4632	1.3232	7.5422	NA	0.2774	0	NA	0.2899	1e-04	NA
0bbec1ab1764edbc3aa46a80feb5278c	258.1138	1252.3784	476.6116	129.0569	250.4757	11.6247	11.102	21.5469	NA	1e-04	0	NA	2e-04	0	NA
0bbee39e79a048f8ee123b66492801a7	92.9541	349.0481	103.4226	46.4771	69.8096	2.5225	18.425	27.6748	NA	0	0	NA	0	0	NA
0bc13939b07f45be788bfd2b929cfaba	10.9124	4.1078	10.8915	5.4562	0.8216	0.2656	20.5393	3.0927	NA	0	0.0185	NA	0	0.0193	NA
0c373c80eb879f3237825d3c476ec9c1	79.6397	123.5747	57.9646	39.8199	24.7149	1.4138	28.1657	17.4816	NA	0	0	NA	0	0	NA
0c5af227854931ad41df5c5d2b272b99	32.9612	59.0915	25.5989	16.4806	11.8183	0.6244	26.3958	18.9286	NA	0	0	NA	0	0	NA
0c5f117eac274dfb8bb1f7cfc1050e45	3.6193	17.0335	4.9673	1.8096	3.4067	0.1212	14.9366	28.1186	NA	0	0	NA	0	0	NA
0c5fe68d3747f596e45cb4b9cc0ddad9	1.0984	15.6699	12.2979	0.5492	3.134	0.2999	1.831	10.4484	NA	0.1731	0	NA	0.1851	0	NA
0c6abd0a75c16b85098ae7101583610a	41.3744	898.4146	211.5171	20.6872	179.6829	5.159	4.01	34.8293	NA	0.0257	0	NA	0.0295	0	NA
