## FlyBase gene genetic interactions report
## Generated: Sat May 29 01:03:13 2021
## Using datasource: dbi:Pg:dbname=fb_2021_03_reporting;host=flysql20;port=5432

##Starting_gene(s)_symbol	Starting_gene(s)_FBgn	Interacting_gene(s)_symbol	Interacting_gene(s)_FBgn	Interaction_type	Publication_FBrf
pk	FBgn0003090	stan	FBgn0024836	enhanceable	FBrf0162094
hop	FBgn0004864	Dsor1	FBgn0010269	suppressible	FBrf0147160
pk	FBgn0003090	hwt	FBgn0264542	enhanceable	FBrf0218210
pbl	FBgn0003041	CG3036	FBgn0031645	enhanceable	FBrf0199094
upd1	FBgn0004956	Hipk	FBgn0035142	enhanceable	FBrf0244428
DJ-1α	FBgn0033885	Pten	FBgn0026379	enhanceable	FBrf0188284
tkv	FBgn0003716	CG3632	FBgn0030735	enhanceable	FBrf0220364
Diap1	FBgn0260635	AGO2	FBgn0087035	suppressible	FBrf0241494
Ret	FBgn0011829	ksr	FBgn0015402	suppressible	FBrf0190765
Rel	FBgn0014018	sc	FBgn0004170	enhanceable	FBrf0210269
z	FBgn0004050	E(z)	FBgn0000629	suppressible	unattributed
Sk2	FBgn0052484	car	FBgn0000257	suppressible	FBrf0213095
LIMK1	FBgn0283712	sick	FBgn0263873	suppressible	FBrf0226907
nod	FBgn0002948	mwr	FBgn0019668	enhanceable	FBrf0091150
mid	FBgn0261963	HGTX	FBgn0040318	enhanceable	FBrf0207072
ed	FBgn0000547	sav	FBgn0053193	suppressible	FBrf0217474
dom	FBgn0020306	Pabp2	FBgn0005648	enhanceable	FBrf0221645
RpS5b	FBgn0038277	RpS5a	FBgn0002590	enhanceable	FBrf0243588
TBPH	FBgn0025790	Fmr1	FBgn0028734	enhanceable	FBrf0230196
Sema1a	FBgn0011259	Gyc76C	FBgn0266136	suppressible	FBrf0223742
H	FBgn0001169	neur	FBgn0002932	enhanceable	FBrf0134543
ct	FBgn0004198	Nipped-B	FBgn0026401	enhanceable	FBrf0203143
park	FBgn0041100	AMPKα	FBgn0023169	suppressible	FBrf0219671
slbo	FBgn0005638	AP-2α	FBgn0264855	suppressible	FBrf0101995
H	FBgn0001169	N	FBgn0004647	suppressible	FBrf0149093
phyl	FBgn0013725	ttk	FBgn0003870	enhanceable	FBrf0138359
Sce	FBgn0003330	gpp	FBgn0264495	enhanceable	FBrf0183454
mi	FBgn0261786	CycE	FBgn0010382	suppressible	FBrf0217517
peb	FBgn0003053	babo	FBgn0011300	suppressible	FBrf0180294
hep	FBgn0010303	Glyat	FBgn0054010	suppressible	FBrf0236100
Tm1|osk	FBgn0003721|FBgn0003015	E(To)9	FBgn0046117	enhanceable	FBrf0137253
Sox21a	FBgn0036411	puc	FBgn0243512	enhanceable	FBrf0230512
Ras85D|l(2)gl	FBgn0003205|FBgn0002121	wupA	FBgn0283471	suppressible	FBrf0234419
Streak	FBgn0003414	b	FBgn0000153	enhanceable	FBrf0066905
upd1	FBgn0004956	pAbp	FBgn0265297	suppressible	FBrf0190752
Vps35	FBgn0034708	Rab9	FBgn0032782	suppressible	FBrf0240088
Mkp3	FBgn0036844	Raf	FBgn0003079	enhanceable	FBrf0167896
CycE	FBgn0010382	Cdk2	FBgn0004107	suppressible	FBrf0127183
ena	FBgn0000578	pyd	FBgn0262614	enhanceable	FBrf0213894
